message_id,value
10963,@@source_name@@ hit @@target_name@@ for @@int_value@@ damage (@@int_value2@@ mitigated).
10964,@@source_name@@ hat @@target_name@@ besiegt.
10965,@@source_name@@ hat @@target_name@@ um  @@int_value@@ Gesundheit geheilt.
14308,@@source_name@@ trifft @@target_name@@ kritisch mit @@int_value@@ Schaden (um @@int_value2@@ abgeschwächt).
19079,Du musst ein Passwort eingeben.
20582,Du bist nicht der Anführer der Taskforce.
20583,@@name@@ ist kein Mitglied der Taskforce.
20589,@@source_name@@ hat @@target_name@@ hinterrücks mit @@int_value@@ Schaden angegriffen (um @@int_value2@@ abgeschwächt).
20603,Objekt konnte nicht gefunden werden.
20604,Merkmal konnte nicht gefunden werden.
20605,Index nicht verfügbar.
20606,Wert wird festgelegt…
20607,Nachricht: @@message@@
21310,Stufe @@level@@!
23028,Du erhältst @@INT_VALUE@@ Zielpunkte.
23070,Du hast @@name@@ besiegt!
23071,Der Spieler @@player_name@@ hat @@name@@ besiegt.
23695,Standard - Nachricht Verwenden
23696,Standard Inaktiv Nachricht Verwenden
25918,"Du hast  @@player_name@@  dabei geholfen, @@name@@ zu besiegen."
31313,Nav-Fehler: Konnte keinen Pfad zum Ziel finden
32849,Gegenstand erhalten: @@item_name@@ (x@@instance_count@@).
32890,"Warnung: Verlasse diesen Bereich, sonst wirst du aus der Mission entfernt!"
32977,Sieg
32978,Niederlage
32979,Unentschieden
41495,[Unbekannt]
41583,Nordamerika
41605,Sehr lang
41606,Lang
41607,Mittel
41608,Kurz
41609,Sehr kurz
41642,BILDFORMAT
42122,@@int_value@@
42123,@@int_value@@
42124,@@int_value@@
42125,+@@int_value@@
42128,^@@int_value@@^
42129,Du
42130,Dein @@source_name@@
42131,@@player_name@@s @@source_name@@
42148,@@source_name@@ hat @@target_name@@ betäubt.
42151,@@source_name@@ hat @@int_value@@ Schaden erlitten.
42153,dein
42154,@@target_name@@s
42165,*Betäuben*
42175,Team-Einladung
42189,@@target_name@@ wurde mit @@int_value@@ Schaden getroffen (@@int_value2@@ abgeschwächt).
42192,@@target_name@@ wurde von hinten angegriffen und erleidet @@int_value@@ Schaden (@@int_value2@@ abgeschwächt).
42195,@@target_name@@ wurde mit @@int_value@@ Schaden ernsthaft getroffen (@@int_value2@@ abgeschwächt).
42199,@@target_name@@ wurde besiegt.
42200,@@target_name@@ wurde für @@int_value@@ Gesundheit geheilt.
42209,@@target_name@@ wurde betäubt.
51494,Verteidigung
52289,Einsatztrupp
52658,@@target_name@@ erhält @@INT_VALUE@@ EP.
52659,+@@int_value@@EP
52759,"Du musst Global Agenda erwerben, um dieses Feature freizuschalten."
52836,Arena
53191,OffenesPvP
53956,account.globalagendagame.com
53957,/GameSrv/Service.svc/SysSiteInfo
54106,Kraftkosten
54125,Schaden
54126,Kraft
54127,Gebäudeschaden
54128,Fallschaden
54131,Fläch.schad.
54132,Sch. an Humanoiden
54133,Energieschaden
54135,Feuerschaden
54136,Nahkampfschaden
54138,Schaden
54139,Giftschaden
54140,Fernschaden
54153,Größe
54158,Laderaum
54159,Reichw.
54659,Region
54665,Begl.-Rad.
54666,Begl.-Dauer
54669,Begl.-Reichw.
54670,Max. LP
54674,Begl.-Einsatzzeit
54675,Einsatzrate
54684,Feuerrate
54685,Kraftkosten – Block.
54686,Kraftaufladung
54706,Abklingz.
54707,Flächen-Rad.
54890,Eff. Reichweite
55108,@@target_name@@ erhält @@INT_VALUE@@ Gold.
55112,+@@int_value@@g
55124,AvA
55498,Annäh.-Entfernung
55499,Dauer
55774,Du bist an deinem Ziel angekommen.
56990,Es werden keine Verteidiger mehr gebraucht. Du wurdest aus der Warteschlange entfernt.
59478,Bewegung
59479,Fertigkeiten
59481,Interaktion
59482,Benutzeroberfläche
59483,Chat
59484,Vorwärts bewegen
59485,Rückwärts bewegen
59486,Links ausweichen
59487,Rechts Ausweichen
59490,Feuern
59495,Überkraft
59496,Fertigkeit 1
59497,Fertigkeit 2
59498,Nachladen
59499,Zurückholen
59500,Aktiv 1 speichern
59501,Aktiv 2 speichern
59502,Aktiv 3 speichern
59503,Verbrauchsgegenstand 1
59508,Screenshot anfertigen
59526,Freundesliste ansehen
59539,"Drücke die gewünschte Taste, um sie mit dem Befehl zu verknüpfen."
59540,Tasten-Bindung aufgehoben.
60195,"Datenbank-Anfrage erfolgreich, UI-Szene kann geschlossen werden."
60239,Bedroh.
60240,Bedroh.
60408,Verwerfen
60722,Beute
61460,"Du wurdest aus der Warteschlange entfernt, da alle Söldner-Verträge abgelaufen sind."
61461,"Du wurdest aus der Warteschlange entfernt, da alle Arena-Spiele bereits voll sind."
64900,Bolt
64903,Tower
64923,Erobere Ziele und schiebe die Ladung zur gegnerischen Basis.
64924,Steinfestung (Klassisch)
64927,ZOLD MINION Bow
65145,Basisschadensbetrag
100012,@@source_name@@ hat Stufe @@int_value@@ erreicht.
100016,@@target_name@@ ist auf Stufe @@int_value@@ aufgestiegen.
100082,Sword
100237,Du wirst von einem Turm anvisiert!
100494,"Drücke ""I“, um Gegenstände zu kaufen"
100610,@@source_name@@ hat @@target_name@@ verängstigt.
100611,@@target_name@@ wurde verängstigt.
100612,*Panik*
100613,Panik
100779,Dein Medium wurde vernichtet!
100780,Du hast ein gegnerisches Medium vernichtet!
100781,Du hast einen gegnerischen Altar vernichtet!
100782,Du hast einen gegnerischen Turm vernichtet!
100783,Dein Altar wurde zerstört!
100784,Dein Turm wurde vernichtet!
100801,[Minikarte] Sicht ignoriert
100809,Abklingz. %
101241,Heavy Club
101327,"(<font color=""#00FF00"">+@@float_value@@</font>)"
101405,"<font color=""#00FF00"">@@float_value@@</font>"
101407,@@float_value@@
101475,"<font color=""#00FF00"">@@float_value@@</font>"
101476,@@float_value@@
101477,"<font color=""#00FFFF"">+@@float_value@@</font>"
101478,"<font color=""#00FFFF"">+@@float_value@@</font>"
101479,"<font color=""#FF7700"">+@@float_value@@</font>"
101480,"<font color=""#FF7700"">+@@float_value@@</font>"
101481,"<font color=""#00FF00"">@@float_value@@</font>"
101482,@@float_value@@
101483,"<font color=""#00FF00"">@@float_value@@</font>"
101484,@@float_value@@
101485,"<font color=""#00FF00"">@@float_value@@</font>"
101486,"<font color=""#FFFFFF"">@@float_value@@</font>"
102046,`Du hast einen gegnerischen Wächter zerstört!
102047,Dein Titan wurde vernichtet!
102048,`Dein Wächter wird angegriffen!
102049,Titan Damage Device (FA) (Minotaur - Giant Axe)
102059,@@ITEM_NAME@@ wurde zu @@ITEM_NAME_2@@ aufgewertet
102060,@@ITEM_NAME@@ wurde gekauft.
102061,Automatischer Kauf
102062,Autom. Fertigkeit
102063,@@SKILL_NAME@@ Rang @@RANK@@ wurde erhöht
102138,@@source_name@@ hat @@target_name@@ niedergestreckt.
102139,@@source_name@@ hat @@target_name@@ niedergestreckt.
102140,@@source_name@@ hat @@target_name@@ niedergestreckt.
102141,@@source_name@@ hat @@target_name@@ niedergestreckt.
102196,"Während du auf den Respawn wartest, kannst du Gegenstände kaufen, für die du genug Credits hast, oder anderen Teammitgliedern zuschauen."
102197,Warten auf Respawn...
102204,"Schütze die Altäre, sonst verlierst du das Spiel."
102205,Altar
102206,"Zerstöre die Altäre, damit dein Team das Spiel gewinnt."
102207,Altar
102208,Die Altartürme sind die letzte Verteidigungslinie!
102209,Altarturm
102210,"Töte den Kanalisierer, um deine stärksten Minions zu entfesseln!"
102211,Der Kanalisierer
102212,"Der Wächter schützt den Kanalisierer. Der Kanalisierer kann nicht angegriffen werden, solange der Wächter ihn beschützt!"
102213,Der Wächter
102214,Deine Türme schützen dich vor dem gegnerischen Team-Vorstoß.
102215,Beschützerturm
102216,Verbündete Minions helfen dir beim Eindringen in die vom Gegner beherrschten Wege.
102217,Verbündete Minions
102218,"Im Dschungel leben neutrale Creeps, die für Gold und EP getötet werden können."
102219,Der Dschungel
102220,"Der Dschungel bietet Schutz, um gegnerische Spieler zu ganken."
102221,Der Dschungel
102222,Töte diese Monster und erhalte Gold und EP!
102223,Dschungellager
102224,Der Zyklop verleiht dir einen tollen Bewegungsbuff!
102225,Der Zyklop
102226,"Wenn du den Kraken tötest, erhält dein Team einen gewaltigen Buff. Achte darauf, dass deine Freunde bei dir sind bevor du versuchst, ihn zur Strecke zu bringen!"
102227,Krake
102230,Die Minikarte liefert dir wertvolle Informationen hinsichlich des Standortes von Freunden und Gegnern!
102231,Minikarte
102232,"Jemand versucht, deine Aufmerksamkeit auf eine Gegend auf der Minikarte zu lenken! Halte die Alt-Taste gedrückt, während  du auf die Minikarte klickst, um die Stelle anzupingen."
102233,Minikarte-Ping
102236,Der Teamüberblick auf der linken Seite deines HUD liefert wesentliche Angaben bezüglich deiner Teamkollegen.
102237,Teamüberblick
102238,"Wirf einen Blick auf die Minikarte, um ein schützendes Bauwerk zu finden, das gerade angegriffen wird."
102239,Gebäude wird angegriffen!
102240,"Zerstöre diesen Turm, um zum gegnerischen Altar vorzudringen!"
102241,Gegnerischer Turm
102242,"Töte den Wächter, um den gegnerischen Kanalisierer angreifbar zu machen."
102243,Der Wächter
102244,Beschütze deinen Kanalisierer oder der Gegner kann seine stärksten Minions spawnen!
102245,Der Kanalisierer
102249,Du wirst von einem Wächter anvisiert!
102250,Kraft – Physisch. Gegenst.
102251,Kraft – Magisch. Gegenst.
102252,Angriffstempo
102253,Bewegung
102254,Schutz – Physisch
102255,Schutz – Magisch
102256,Krit-Chance
102257,Lebensraub
102258,Lebensraub – Magisch
102259,Durchdringung % – Magisch
102260,Durchdringung % – Physisch
102261,Ges.
102262,LP5
102263,Mana
102264,MP5
102278,What the towers use to do damage
102279,Base Turret
102289,Flaming Bow
102292,Flaming Sword
102304,@@PLAYER_NAME@@ hat einen Double-Kill!
