message_id,value
10963,@@source_name@@ golpeó a  @@target_name @@ por @@int_value@@ daño (@@int_value2@@ mitigado).
10964,@@source_name @@ derrotó a @@target_name @@.
10965,@@source_name @@ ha sanado a  @@target_name @@ por  @@int_value @@ salud.
14308,@@source_name@@ golpeado críticamente @@target_name@@ por @@int_value@@ daño  (@@int_value2@@ mitigado).
19079,Debe introducir una contraseña.
20582,Usted no es el líder del grupo de trabajo .
20583,@@name@@ no es un miembro de la fuerza de trabajo.
20589,@@source_name@@ traicionado  @@target_name@@ por  @@int_value@@ daño (@@int_value2@@ mitigado).
20603,No se puede encontrar el objeto.
20604,No se puede encontrar la propiedad.
20605,Índice fuera de los límites.
20606,Ajustando valor…
20607,Mensaje: @@message@@
21310,Nivel @@nivel@@!
23028,Usted ganó @@INT_VALUE@@ de puntos objetivos .
23070,¡Has derrotado a @@name@@!
23071,¡Tu @@player_name@@ venció a @@name@@!
23695,Mensaje predeterminado
23696,mensaje predeterminado inactivo
25918,Asististe a @@player_name@@ venciendo a @@name@@.
31313,Error de Navegación: No se pudo encontrar una ruta al destino.
32849,Objeto recibido: @@item_name@@ (x@@instance_count@@).
32890,Advertencia: ¡Debe salir del área o será expulsado de la misión!
32977,Victoria
32978,Derrota
32979,Empate
41495,[Desconocido]
41583,Estados Unidos
41605,Muy largo
41606,Long
41607,Normal
41608,Corto
41609,Muy corto
41642,Relación de Aspecto
42122,@@int_value@@
42123,@@int_value@@
42124,@@int_value@@
42125,+@@int_value@@
42128,^@@int_value@@^
42129,Tú
42130,tu @@source_name@@
42131,@@player_name@@'s  @@source_name@@
42148,@@source_name @@ha aturdido a  @@target_name @@.
42151,@@source_name @@ cayó ante  @@int_value @@ daño.
42153,Tu
42154,@@target_name@@
42165,*Aturdir *
42175,Invitar a equipo
42189,@@target_name@@recibió un golpe por @@int_value@@ de daño (@@int_value2@@ mitigado).
42192,Apuñalaron a @@target_name@@ y le hicieron@@int_value@@ de daño (@@int_value2@@ mitigado).
42195,@@target_name@@recibió un golpe crítico por @@int_value@@ de daño (@@int_value2@@ mitigado).
42199,Derrotaron a @@target_name@@.
42200,@@target_name@@ se curó por @@int_value@@ de salud.
42209,Aturdieron a @@target_name@@.
51494,Defensa
52289,Fuerza especial
52658,@@target_name@@ ganó @@INT_VALUE@@ EXP.
52659,EXP +@@int_value@@
52759,Usted está obligado a comprar la Agenda Global para activar esta función .
52836,Arena
53191,JcJ abierto
53956,account.globalagendagame.com
53957,/GameSrv/Service.svc/SysSiteInfo
54106,Costo de poder
54125,Daño
54126,Poder
54127,Daño de estructura
54128,Daño de caída
54131,Daño de AdE
54132,Daño de humanoide
54133,Daño de energía
54135,Daño ígneo
54136,Daño cuerpo a cuerpo
54138,Daño
54139,Daño de veneno
54140,Daño de alcance
54153,Tamaño
54158,Espacio de carga
54159,Alcance
54659,Región
54665,Radio de la mascota
54666,Duración de mascota
54669,Alcance de mascota
54670,Salud máx.
54674,Despliegue de mascota
54675,Tasa de despliegue
54684,Cadencia de tiro
54685,Costo de poder: bloqueo
54686,Recarga de poder
54706,Recarga
54707,Radio de AdE
54890,Alcance efectivo
55108,@@target_name@@ganó @@INT_VALUE@@ de oro.
55112,+@@int_value@@g
55124,AvA
55498,Distancia de prox.
55499,Duración
55774,Has llegado a tu destino .
56990,"La necesidad de los defensores ha terminado, has sido retirado de la fila."
59478,Movimiento
59479,Habilidades
59481,Interactuación
59482,Interfaz
59483,Chat
59484,Avanzar
59485,Retroceder
59486,Desplazamiento izquierdo
59487,Desplazamiento derecho
59490,Disparar
59495,Habilidad definitiva
59496,Poder 1
59497,Poder 2
59498,Recargar
59499,Invocar
59500,Almacenar activo 1
59501,Almacenar activo 2
59502,Almacenar activo 3
59503,Consumible 1
59508,Captura de pantalla
59526,Ver lista de amigos
59539,Presiona tecla para atar para ordenar.
59540,Asignación de tecla cancelada.
60195,"Solicitud de Db exitosa, listo para cerrar escena UI."
60239,Amenaza
60240,Amenaza
60408,Descartar
60722,Botín
61460,Fuiste sacado de la cola porque todos los contratos de mercenarios han expirado.
61461,Fuiste eliminado de la cola porque todas las partidas de la arena están llenas.
64900,Bolt
64903,Tower
64923,Captura objetivos y empuja la carga explosiva hasta la base enemiga.
64924,Torreón rocoso (clásico)
64927,ZOLD MINION Bow
65145,Dispositivo de daño de área de base
100012,@@source_name@@ ha llegado al nivel @@int_value@@.
100016,@@target_name@@ subió al nivel @@int_value@@.
100082,Sword
100237,¡Usted ha sido el blanco de una torre !
100494,Presiona l para comprar artículos
100610,@@source_name @@ temió a @@target_name @@.
100611,Temieron a @@target_name@@.
100612,*Pánico*
100613,Pánico
100779,¡Tu canalizador ha sido destruido!
100780,¡Has destruido un canalizador enemigo!
100781,¡Has destruido el altar enemigo!
100782,¡Has destruido una torre enemiga !
100783,¡Tu altar ha sido destruido!
100784,¡Tu torre ha sido destruida!
100801,[MiniMap] LOSIgnored
100809,% recarga
101241,Heavy Club
101327,"(<font color=""#00FF00"">+@@float_value@@</font>)"
101405,"<font color=""#00FF00"">@@float_value@@</font>"
101407,@@float_value@@
101475,"<font color=""#00FF00"">@@float_value@@</font>"
101476,@@float_value@@
101477,"<font color=""#00FFFF"">+@@float_value@@</font>"
101478,"<font color=""#00FFFF"">+@@float_value@@</font>"
101479,"<font color=""#FF7700"">+@@float_value@@</font>"
101480,"<font color=""#FF7700"">+@@float_value@@</font>"
101481,"<font color=""#00FF00"">@@float_value@@</font>"
101482,@@float_value@@
101483,"<font color=""#00FF00"">@@float_value@@</font>"
101484,@@float_value@@
101485,"<font color=""#00FF00"">@@float_value@@</font>"
101486,"<font color=""#FFFFFF"">@@float_value@@</font>"
102046,` ¡Usted ha destruido un titán enemigo!
102047,¡Tu titán ha sido destruido!
102048,` !Su titán está bajo ataque!
102049,Titan Damage Device (FA) (Minotaur - Giant Axe)
102059,@@ITEM_NAME@@ fue mejorado a  @@ITEM_NAME_2@@
102060,@@ITEM_NAME@@ fue comprado
102061,Auto-compra
102062,Auto-habilidad
102063,@@SKILL_NAME @@ clasificación  @@RANK @@ fue entrenado
102138,@@source_name@@ asesinó a @@target_name@@.
102139,@@source_name@@ asesinó a @@target_name@@.
102140,@@source_name@@ asesinó a @@target_name@@.
102141,@@source_name@@ asesinó a @@target_name@@.
102196,"Mientras esperas a reaparecer, puedes comprar objetos con crédito o puedes observar a tus compañeros de equipo."
102197,Esperando reaparición...
102204,Hay que proteger los Altares o perderás la partida.
102205,Altar
102206,Hay que acabar con los Altares para ganar la partida con tu equipo.
102207,Altar
102208,¡Las torres del altar son la última línea de defensa!
102209,Torre de altar
102210,¡Mata al canalizador para que salgan tus súbditos más fuertes!
102211,El Canalizador
102212,El guardián protege al canalizador. No se puede atacar al canalizador si el guardián está presente.
102213,El Guardián
102214,Tus torres te protegen contra el avance de los equipos enemigos.
102215,Torre aliada
102216,Los súbditos aliados te ayudan a empujar las filas enemigas.
102217,Súbditos aliados
102218,En la selva hay criaturas neutrales a las que puedes matar para conseguir oro y EXP.
102219,La Selva
102220,La Jungla ofrece cobertura para matar en grupo a los enemigos.
102221,La Selva
102222,¡Mata a los monstruos para conseguir oro y EXP!
102223,Campamento de jungla
102224,¡El cíclope confiere un gran potenciador de movimiento!
102225,El cíclope
102226,Al matar al Kraken tu equipo recibirá un gran potenciador. ¡Asegúrate de contar con tus amigos antes de intentar acabar con él!
102227,Kraken
102230,¡El minimapa te ofrece información muy valiosa sobre la posición de tus aliados y enemigos!
102231,Minimapa
102232,¡Alguien intenta llamar tu atención hacia una zona del minimapa! Mantén oprimido Alt mientras haces clic en el minimapa para identificar una posición.
102233,Ping de minimapa
102236,El panel del equipo en la parte izquierda del visor muestra las estadísticas vitales de tus compañeros.
102237,Panel del equipo
102238,Consulta el minimapa para ver una estructura aliada bajo ataque.
102239,¡Estructura atacada!
102240,¡Destruye esta torre para avanzar hasta el altar enemigo!
102241,Torre Enemiga
102242,Mata al guardián para que el canalizador enemigo sea vulnerable a los ataques.
102243,El Guardián
102244,¡Protege a tu canalizador o el enemigo mandará a sus súbditos más fuertes!
102245,El Canalizador
102249,¡Eres objetivo del Titan!
102250,Poder: objeto físico
102251,Poder - Objeto mágico
102252,Velocidad de ataque
102253,Movimiento
102254,Protección: física
102255,Protección: mágica
102256,Prob. de crítico
102257,Robo de vida
102258,Robo de vida - Mágico
102259,% de penetración - Mágica
102260,% penetración: física
102261,Salud
102262,HP5
102263,Maná
102264,MP5
102278,What the towers use to do damage
102279,Base Turret
102289,Flaming Bow
102292,Flaming Sword
102304,¡@@PLAYER_NAME@@ consiguió una baja doble!
102305,¡@@PLAYER_NAME@@ consiguió una baja triple!
102306,¡@@PLAYER_NAME@@ consiguió una baja cuádruple!
102307,¡@@PLAYER_NAME@@ consiguió una baja quíntuple!
