message_id,value
10963,@@source_name@@は@@target_name@@に@@int_value@@ダメージ(@@int_value2@@軽減)を与えました。
10964,@@source_name@@は@@target_name@@を倒しました。
10965,@@source_name@@は@@target_name@@を@@int_value@@HP回復させました。
14308,@@source_name@@は@@target_name@@にクリティカルヒットで@@int_value@@ダメージ(@@int_value2@@軽減)を与えました。
19079,パスワードを入力してください。
20582,あなたはタスクフォースのリーダーではありません。
20583,@@name@@はタスクフォースのメンバーではありません。
20589,@@source_name@@は@@target_name@@を裏切り@@int_value@@ダメージ(@@int_value2@@軽減)を与えました。
20603,オブジェクトが見つかりませんでした。
20604,プロパティが見つかりませんでした。
20605,インデックスが境界を超えています。
20606,値を設定中…
20607,メッセージ: @@message@@
21310,レベル@@level@@！
23028,目標ポイントを@@INT_VALUE@@獲得しました。
23070,あなたは@@name@@を倒しました！
23071,あなたの@@player_name@@が@@name@@を倒しました！
23695,デフォルト - メッセージ使用
23696,デフォルト無効 - メッセージ使用
25918,@@player_name@@が@@name@@を倒すのをアシストしました。
31313,ナビエラー: 目標地点までのルートが見つかりませんでした。
32849,受け取ったアイテム: @@item_name@@(x@@instance_count@@)
32890,注意: このエリアから離れなければミッションから追放されます！
32977,勝利
32978,敗北
32979,引き分け
41495,[不明]
41605,とても長い
41606,長い
41607,中間
41608,短い
41609,とても短い
41642,アスペクト比
42122,@@int_value@@
42123,@@int_value@@
42124,@@int_value@@
42125,+@@int_value@@
42128,^@@int_value@@^
42129,あなた
42130,あなたの@@source_name@@
42131,@@player_name@@の@@source_name@@
42148,@@source_name@@は@@target_name@@をスタンしました。
42151,@@source_name@@は落下して@@int_value@@ダメージを受けました。
42153,あなたの
42154,@@target_name@@の
42165,*スタン*
42175,チーム招待
42189,@@target_name@@は@@int_value@@ダメージ(@@int_value2@@軽減)を受けました。
42192,@@target_name@@は裏切られ@@int_value@@ダメージ(@@int_value2@@軽減)を受けました。
42195,@@target_name@@はクリティカルヒットで@@int_value@@ダメージ(@@int_value2@@軽減)を受けました。
42199,@@target_name@@は倒されました。
42200,@@target_name@@は@@int_value@@HP回復しました。
42209,@@target_name@@はスタンされました。
51494,防衛
52289,タスクフォース
52658,@@target_name@@は@@INT_VALUE@@EXPを獲得しました。
52659,+@@int_value@@Exp
52759,この機能を有効にするには、グローバルアジェンダを購入する必要があります。
52836,アリーナ
53191,オープンPvP
53956,Account.globalagendagame.com
53957,/GameSrv/Service.svc/SysSiteInfo
54106,パワーコスト
54125,ダメージ
54126,パワー
54127,構造物ダメージ
54128,落下ダメージ
54131,範囲ダメージ
54132,ヒューマノイドダメージ
54133,エネルギーダメージ
54135,炎ダメージ
54136,近接ダメージ
54138,ダメージ
54139,毒ダメージ
54140,遠距離ダメージ
54153,サイズ
54158,積み荷スペース
54159,射程距離
54659,地域
54665,ペット半径
54666,ペット効果時間
54669,ペット射程距離
54670,最大HP
54674,ペット配備時間
54675,配備速度
54684,連射速度
54685,パワーコスト - ブロック
54686,パワーリチャージ
54706,クールダウン
54707,範囲攻撃の半径
54890,効果範囲
55108,@@target_name@@は@@INT_VALUE@@ゴールドを獲得しました。
55112,+@@int_value@@G
55124,AvA
55498,近接距離
55499,効果時間
55774,目標地点に到着しています。
56990,ディフェンダーはもう必要ありません。あなたは待機キューから外されました。
59478,移動
59479,アビリティ
59481,インタラクション
59482,インターフェイス
59483,チャット
59484,前進
59485,後退
59486,左へ平行移動
59487,右へ平行移動
59490,射撃
59495,アルティメット
59496,アビリティ1
59497,アビリティ2
59498,リロード
59499,リコール
59500,ストアアクティブ1
59501,ストアアクティブ2
59502,ストアアクティブ3
59503,消耗アイテム1
59508,スクリーンショットを撮る
59526,フレンドリストを表示
59539,コマンドを割り当てるキーを押してください。
59540,キーの割り当てがキャンセルされました。
60195,DBへのリクエストが正常に処理されました。UIシーンを終了します。
60239,脅迫
60240,脅迫
60408,却下
60722,戦利品
61460,すべての雇い兵契約の有効期限が切れたため、待機キューから外されました。
61461,アリーナマッチがすべて定員に達したため、待機キューから外されました。
64923,目標を制圧して、敵基地へペイロードを移送しよう。
64924,ストーンキープ (クラシック)
100012,@@source_name@@はレベル@@int_value@@に到達しました。
100016,@@target_name@@はレベル@@int_value@@にレベルアップしました。
100237,あなたはタワーに狙われています！
100494,アイテムを購入するには「I」を押してください
100610,@@source_name@@は@@target_name@@に恐怖状態にされました。
100611,@@target_name@@は恐怖状態にされました。
100612,*パニック*
100613,パニック
100779,あなたのチャネラーが倒されました！
100780,敵のチャネラーを倒しました！
100781,敵の祭壇を破壊しました！
100782,敵のタワーを破壊しました！
100783,あなたの祭壇が破壊されました！
100784,あなたのタワーが破壊されました！
100801,[ミニマップ] LOSIgnored
100809,クールダウン率
101327,"(<font color=""#00FF00"">+@@float_value@@</font>)"
101405,"<font color=""#00FF00"">@@float_value@@</font>"
101407,@@float_value@@
101475,"<font color=""#00FF00"">@@float_value@@</font>"
101476,@@float_value@@
101477,"<font color=""#00FFFF"">+@@float_value@@</font>"
101478,"<font color=""#00FFFF"">+@@float_value@@</font>"
101479,"<font color=""#FF7700"">+@@float_value@@</font>"
101480,"<font color=""#FF7700"">+@@float_value@@</font>"
101481,"<font color=""#00FF00"">@@float_value@@</font>"
101482,@@float_value@@
101483,"<font color=""#00FF00"">@@float_value@@</font>"
101484,@@float_value@@
101485,"<font color=""#00FF00"">@@float_value@@</font>"
101486,"<font color=""#FFFFFF"">@@float_value@@</font>"
102046,敵のタイタンを倒しました！
102047,あなたのタイタンが倒されました！
102048,あなたのタイタンが攻撃を受けています！
102059,@@ITEM_NAME@@は@@ITEM_NAME_2@@にアップグレードされました
102060,@@ITEM_NAME@@を購入しました
102061,自動購入
102062,自動スキル
102063,@@SKILL_NAME@@ランク@@RANK@@を訓練しました
102138,@@source_name@@は@@target_name@@を倒しました
102139,@@source_name@@は@@target_name@@を倒しました
102140,@@source_name@@は@@target_name@@を倒しました
102141,@@source_name@@は@@target_name@@を倒しました
102196,リスポーンを待っている間、ゴールドでアイテムを購入したり、他のチームメイトの活躍を見たりすることができます。
102197,リスポーン待機中…
102204,祭壇を破壊されると敗北になります。
102205,祭壇
102206,勝利するには敵の祭壇を破壊する必要があります。
102207,祭壇
102208,祭壇タワーが最終防衛線です！
102209,祭壇タワー
102210,チャネラーを倒せば最強の手下たちを解き放つことができます！
102211,チャネラー
102212,ガーディアンはチャネラーの守護者です。ガーディアンがいる間はチャネラーに攻撃を加えることはできません！
102213,ガーディアン
102214,タワーは敵チームの進軍を防ぎます。
102215,味方のタワー
102216,味方の手下たちは敵レーンを押し戻してくれます。
102217,味方の手下たち
102218,ジャングルにはニュートラルな生物が生息しており、倒せばゴールドとEXPを獲得できます。
102219,ジャングル
102220,ジャングルは敵プレイヤーを襲撃するときに効果的なカモフラージュになります。
102221,ジャングル
102222,モンスターを倒せばゴールドとEXPを獲得できます！
102223,ジャングルキャンプ
102224,サイクロップスからは効果抜群の移動バフを獲得できます！
102225,サイクロップス
102226,クラーケンを倒せばチームに効果抜群のバフが付与されます。フレンドと協力して倒しましょう！
102227,クラーケン
102230,ミニマップにはフレンドや敵の位置などの重要な情報が表示されます！
102231,ミニマップ
102232,誰かがミニマップ上の場所をマーキングしました！「Alt」を押しながらミニマップをクリックすれば、その場所をマーキングできます。
102233,ミニマップ通知
102236,HUDの左側にあるチームパネルには、チームメイトのHPなどの情報が表示されます。
102237,チームパネル
102238,攻撃を受けている味方の構造物をミニマップで確認できます。
102239,構造物が攻撃を受けています！
102240,タワーを破壊して敵の祭壇へ進んでください！
