message_id,value
10963,"@@source_name@@ zadaje cios, w wyniku którego @@target_name@@otrzymuje @@int_value@@ pkt. obrażeń (pomniejszonych o @@int_value2@@ pkt.)."
10964,"@@source_name@@ zwycięża, @@target_name@@ przegrywa."
10965,@@target_name@@ odzyskuje @@int_value@@ PZ dzięki graczowi @@source_name@@.
14308,"@@source_name@@ zadaje trafienie krytyczne, w wyniku którego @@target_name@@ otrzymuje @@int_value@@ pkt. obrażeń (pomniejszonych o @@int_value2@@ pkt.)."
19079,Musisz wpisać hasło.
20582,Nie jesteś przywódcą grupy zadaniowej.
20583,@@name@@ nie należy do grupy zadaniowej.
20589,"@@source_name@@ zadaje cios w plecy, w wyniku którego @@target_name@@ otrzymuje @@int_value@@ pkt. obrażeń (pomniejszonych o @@int_value2@@ pkt.)"
20603,Nie znaleziono obiektu.
20604,Nie znaleziono właściwości.
20605,Indeks poza granicami
20606,Ustawianie wartości...
20607,Wiadomość: @@message@@
21310,@@level@@ poziom!
23028,Masz @@INT_VALUE@@ pkt. celu.
23070,"Ty zwyciężasz, @@name@@ przegrywa!"
23071,"@@player_name@@ zwycięża, @@name@@ przegrywa!"
23695,Domyślna wiadomość o użyciu
23696,Domyślna wiadomość o braku użycia
25918,"@@player_name@@ uzyskuje od ciebie pomoc, dzięki czemu @@name@@ przegrywa."
31313,Błąd nawigacji: Nie udało się znaleźć trasy do celu.
32849,Otrzymano przedmiot: @@item_name@@ (x@@instance_count@@).
32890,"Ostrzeżenie: Jeśli nie opuścisz tego obszaru, poniesiesz karę wykluczenia z misji!"
32977,Zwycięstwo
32978,Porażka
32979,Remis
41495,[Nieznane]
41583,Ameryka Północna
41605,Bardzo długi
41606,Długi
41607,Średni
41608,Krótki
41609,Bardzo krótki
41642,Format obrazu
42122,@@int_value@@
42123,@@int_value@@
42124,@@int_value@@
42125,+@@int_value@@
42128,^@@int_value@@^
42129,ty
42130,Twoja @@source_name@@
42131,@@source_name@@ gracza @@player_name@@
42148,"@@source_name@@ stosuje ogłuszenie, któremu ulega @@target_name@@."
42151,@@source_name@@ ginie w wyniku zadania @@int_value@@ pkt. obrażeń.
42153,twoje
42154,gracza @@target_name@@
42165,*Ogłuszenie*
42175,Zaproszenie do drużyny
42189,@@target_name@@ traci @@int_value@@ pkt. obrażeń (pomniejszonych o @@int_value2@@ pkt.).
42192,@@target_name@@ otrzymuje cios w plecy powodujący @@int_value@@ pkt. obrażeń (pomniejszonych o @@int_value2@@ pkt.).
42195,@@target_name@@ otrzymuje trafienie krytyczne powodujące @@int_value@@ pkt. obrażeń (pomniejszonych o @@int_value2@@ pkt.).
42199,@@target_name@@ przegrywa.
42200,@@target_name@@ odzyskuje @@int_value@@ PZ.
42209,@@target_name@@ ulega ogłuszeniu.
51494,Obrona
52289,Grupa zadaniowa
52658,@@target_name@@ zyskuje @@INT_VALUE@@ PD.
52659,+@@int_value@@ PD
52759,"Aby włączyć tę funkcję, musisz kupić grę Global Agenda."
52836,Arena
53191,OtwartePvP
53956,account.globalagendagame.com
53957,/GameSrv/Service.svc/SysSiteInfo
54106,Koszt siły
54125,Obrażenia
54126,Siła
54127,Obrażenia budowli
54128,Obrażenia od upadku
54131,Obrażenia obszarowe
54132,Obraż. humanoidów
54133,Obrażenia od energii
54135,Obrażenia od ognia
54136,Obrażenia w zwarciu
54138,Obrażenia
54139,Obrażenia od trucizny
54140,Obrażenia dystans.
54153,Wielkość
54158,Przestrzeń ładunkowa
54159,Dystans
54659,Region
54665,Zasięg kreacji
54666,Długość życia kreacji
54669,Zasięg kreacji
54670,Maks. zdrowie
54674,Czas do umieszczenia kreacji
54675,Szybkość rozmieszczania
54684,Szybkość strzelania
54685,Koszt siły (blok)
54686,Przywrócenie siły
54706,Czas odnowienia
54707,Zasięg obrażeń obszarowych
54890,Efektywny zasięg
55108,@@target_name@@ zyskuje @@INT_VALUE@@ szt. złota.
55112,+@@int_value@@ g
55124,AvA
55498,Odległość
55499,Czas trwania
55774,Jesteś u celu.
56990,"Kolejni obrońcy nie są już potrzebni, usunięto cię z kolejki."
59478,Ruch
59479,Zdolności
59481,Interakcja
59482,Interfejs
59483,Czat
59484,Ruch do przodu
59485,Ruch do tyłu
59486,Ruch w lewo
59487,Ruch w prawo
59490,Ogień
59495,Arcyzdolność
59496,Umiejętność 1
59497,Umiejętność 2
59498,Przeładowanie
59499,Powrót
59500,Aktywne przedmioty w sklepie 1
59501,Aktywne przedmioty w sklepie 2
59502,Aktywne przedmioty w sklepie 3
59503,Jednorazowy użytek 1
59508,Zrób zrzut ekranu
59526,Wyświetl listę znajomych
59539,"Naciśnij klawisz, aby powiązać go z poleceniem."
59540,Anulowano powiązanie klawisza.
60195,"Db request succeed, ready to close UI scene."
60239,Zagrożenie
60240,Zagrożenie
60408,Odrzuć
60722,Łupy
61460,"Usunięto cię z kolejki, ponieważ wszystkie kontrakty najemnicze wygasły."
61461,"Usunięto cię z kolejki, ponieważ wszystkie mecze na arenie są pełne."
64900,Bolt
64903,Tower
64923,Przejmij cele i przepchnij ładunek do bazy wroga.
64924,Kamienna Twierdza (klasyczna)
64927,ZOLD MINION Bow
65145,Bazowe urządzenie obrażeń obszarowych
100012,@@source_name@@ osiąga @@int_value@@ poziom.
100016,@@target_name@@ osiąga @@int_value@@ poziom
100082,Sword
100237,Jesteś celem wieży!
100494,"Naciśnij I, aby kupić przedmioty."
100610,"@@source_name@@ sieje strach, któremu ulega @@target_name@@."
100611,@@target_name@@ ulega strachowi.
100612,*Strach*
100613,Panika
100779,Zniszczono twojego Inhibitora!
100780,Udało ci się zniszczyć wrogiego Inhibitora!
100781,Udało ci się zniszczyć ołtarz wroga!
100782,Udało ci się zniszczyć wieżę wroga!
100783,Zniszczono twój ołtarz!
100784,Zniszczono twoją wieżę!
100801,[MiniMapa] Ignorowanie linii wzroku
100809,% czasu odnowienia
101241,Heavy Club
101327,"(<font color=""#00FF00"">+@@float_value@@</font>)"
101405,"<font color=""#00FF00"">@@float_value@@</font>"
101407,@@float_value@@
101475,"<font color=""#00FF00"">@@float_value@@</font>"
101476,@@float_value@@
101477,"<font color=""#00FFFF"">+@@float_value@@</font>"
