message_id,value
10963,@@source_name@@ hit @@target_name@@ for @@int_value@@ damage (@@int_value2@@ mitigated)
10964,@@source_name@@ derrotou @@target_name@@.
10965,@@source_name@@ curou @@target_name@@ com @@int_value@@ de vida.
14308,@@source_name@@ atingiu @@target_name@@ com golpe crítico com @@int_value@@ de dano (@@int_value2@@ mitigado).
19079,Você deve digitar uma senha.
20582,Você não é o líder da força-tarefa.
20583,@@name@@ não é um membro da força-tarefa.
20589,@@source_name@@ apunhalou @@target_name@@ pelas costas com @@int_value@@ de dano (@@int_value2@@ mitigado).
20603,Objeto não encontrado.
20604,Propriedade não encontrada.
20605,Índice fora de alcance.
20606,Definindo valor...
20607,Mensagem: @@message@@
21310,Nível @@level@@!
23028,Você ganhou @@INT_VALUE@@ de pontos de objetivo.
23070,Você derrotou @@name@@!
23071,Seu @@player_name@@ derrotou @@name@@!
23695,Mensagem padrão de uso
23696,Mensagem padrão de uso inativo
25918,Você ajudou @@player_name@@ a derrotar @@name@@.
31313,Erro de nav: Não foi possível encontrar rota até o destino.
32849,Item recebido: @@item_name@@ (x@@instance_count@@).
32890,Atenção: Deixe esta área ou você será expulso da missão!
32977,Vitória
32978,Derrotar
32979,Empate
41495,[Desconhecido]
41583,América do Norte
41605,Muito longo
41606,Longo
41607,Médio
41608,Curto
41609,Muito curto
41642,Relação de Aspecto
42122,@@int_value@@
42123,@@int_value@@
42124,@@int_value@@
42125,+@@int_value@@
42128,^@@int_value@@^
42129,você
42130,seu @@source_name@@
42131,@@source_name@@ de @@player_name@@
42148,@@source_name@@ atordoou @@target_name@@.
42151,@@source_name@@ caiu com @@int_value@@ de dano.
42153,seu
42154,de @@target_name@@
42165,*Atordoar*
42175,Convite de equipe
42189,@@target_name@@ recebeu @@int_value@@ de dano (@@int_value2@@ de dano mitigado).
42192,@@target_name@@ recebeu uma punhalada pelas costas de @@int_value@@ de dano (@@int_value2@@ de dano mitigado).
42195,@@target_name@@ recebeu um golpe crítico de @@int_value@@ de dano (@@int_value2@@ de dano mitigado).
42199,Derrotaram @@target_name@@.
42200,Curaram @@int_value@@ de vida de @@target_name@@.
42209,Atordoaram @@target_name@@.
51494,Defesa
52289,Força-tarefa
52658,@@target_name@@ recebeu @@INT_VALUE@@ de EXP.
52659,+@@int_value@@ EXP
52759,Você precisa ter comprado Global Agenda para ativar essa função.
52836,Arena
53191,PvPAberto
53956,account.globalagendagame.com
53957,/GameSrv/Service.svc/SysSiteInfo
54106,Custo de poder
54125,Dano
54126,Poder
54127,Dano de estrutura
