message_id,value
10963,"@@source_name@@ атакует, @@target_name@@ получает @@int_value@@ ед. урона (@@int_value2@@ ед. поглощено)."
10964,"@@source_name@@ побеждает, @@target_name@@ проигрывает."
10965,@@source_name@@ исцеляет игрока @@target_name@@ на @@int_value@@ ед. здоровья.
14308,"@@source_name@@ наносит критический удар, @@target_name@@ получает @@int_value@@ ед. урона (@@int_value2@@ ед. поглощено)."
19079,Необходимо ввести пароль.
20582,Вы не являетесь лидером этой тактической группы.
20583,@@name@@ не состоит в тактической группе.
20589,"@@source_name@@ бьет в спину, @@target_name@@ получает @@int_value@@ ед. урона (@@int_value2@@ ед. поглощено)."
20603,Не удалось найти объект.
20604,Поиск не удался.
20605,Индекс выходит за границы.
20606,Установка значения...
20607,Сообщение: @@message@@
21310,@@level@@-й уровень!
23028,Вы набрали очки у цели: @@INT_VALUE@@.
23070,@@name@@ проигрывает. Вы победили!
23071,Ваш игрок @@player_name@@ побеждает игрока @@name@@!
23695,Сообщение об использовании по умолчанию
23696,Сообщение об использовании неактивно по умолчанию
25918,С вашей помощью @@player_name@@ побеждает персонажа @@name@@.
31313,Ошибка навигации: не удалось проложить маршрут к точке.
32849,Получен предмет: @@item_name@@ (х@@instance_count@@).
32890,"Внимание: покиньте область, или вы будете отстранены от миссии!"
32977,Победа
32978,Поражение
32979,Ничья
41495,[Неизвестно]
41583,Северная Америка
41605,Очень длинный
41606,Длинный
41607,Средние
41608,Короткий
41609,Очень короткий
41642,Соотношение сторон экрана
42122,@@int_value@@
42123,@@int_value@@
42124,@@int_value@@
42125,+@@int_value@@
42128,^@@int_value@@^
42129,вы
42130,@@source_name@@ (принадлежит вам)
42131,@@source_name@@ игрока @@player_name@@
42148,@@source_name@@ оглушает игрока @@target_name@@.
42151,@@source_name@@ падает и получает @@int_value@@ ед. урона.
42153,ваш
42154,@@target_name@@:
42165,*Оглушение*
42175,Приглашение в команду
42189,@@target_name@@ получает @@int_value@@ ед. урона (@@int_value2@@ ед. поглощено).
42192,@@target_name@@ получает удар в спину на @@int_value@@ ед. урона (@@int_value2@@ ед. поглощено).
42195,@@target_name@@ получает критический удар на @@int_value@@ ед. урона (@@int_value2@@ ед. поглощено)
42199,@@target_name@@ проигрывает.
42200,"@@target_name@@ исцеляется, восстанавливая @@int_value@@ ед. здоровья."
42209,Игрока @@target_name@@ оглушили.
51494,Защита
52289,Тактическая группа
52658,@@target_name@@ получает @@INT_VALUE@@ опыта.
52659,+@@int_value@@ опыта
52759,Для доступа к этой возможности нужно купить Global Agenda.
52836,Арена
53191,Открыть PvP
53956,account.globalagendagame.com
53957,/GameSrv/Service.svc/SysSiteInfo
54106,Цена силы
54125,Урон
54126,Сила
54127,Урон строений
54128,Урон от падения
54131,Урон AoE
54132,Урон гуманоидам
54133,Урон энергии
54135,Урон от огня
54136,Урон в ближнем бою
54138,Урон
54139,Урон от яда
54140,Дальний урон
54153,Размер
54158,Грузовое помещение
54159,Дальность действия
54659,Регион
54665,Радиус животного
54666,Срок жизни животного
54669,Дальность животного
54670,Максимальное здоровье
54674,Время использования животного
54675,Скорость использования
54684,Скорость стрельбы
54685,Цена силы - Блок
54686,Подзарядка силы
54706,Восстановление
54707,Радиус AoE
54890,Радиус действительного поражения
55108,@@target_name@@ получает @@INT_VALUE@@ золота.
55112,+@@int_value@@ зол.
55124,AvA
55498,Прибл. расстояние
55499,Длительность
55774,Вы в пункте назначения.
