message_id,value
10963,"@@source_name@@, @@target_name@@ hedefine @@int_value@@ hasar verdi (@@int_value2@@ azaltıldı)."
10964,"@@source_name@@, @@target_name@@ hedefini yendi."
10965,"@@source_name@@, @@target_name@@ hedefini @@int_value@@ Can iyileştirdi."
14308,"@@source_name@@, @@target_name@@ hedefine @@int_value@@ kritik hasar verdi (@@int_value2@@ azaltıldı)."
19079,Bir şifre girmelisin.
20582,Özel timin lideri değilsin.
20583,"@@name@@, özel timin üyesi değil."
20589,"@@source_name@@, @@target_name@@ hedefini sırtından vurarak @@int_value@@ hasar verdi (@@int_value2@@ azaltıldı)."
20603,Nesne bulunamadı.
20604,Özellik bulunamadı.
20605,Endeks sınırların dışında.
20606,Değer ayarlanıyor...
20607,Mesaj: @@message@@
21310,@@level@@. Seviye!
23028,@@INT_VALUE@@ hedef puanı kazandın.
23070,@@name@@ adlı şampiyonu yendin!
23071,"Yönettiğin @@player_name@@, @@name@@ adlı şampiyonu yendi!"
23695,Varsayılan Kullanılan Mesaj
23696,Varsayılan Pasif Kullanım Mesajı
25918,@@player_name@@ adlı şampiyonun @@name@@ adlı şampiyonu yenmesine yardım ettin.
31313,Navigasyon Hatası: Varış yerine giden bir rota bulunamadı.
32849,Eşya alındı: @@item_name@@ (x@@instance_count@@).
32890,Uyarı: Bölgeyi terk et yoksa görevden atılacaksın!
32977,Zafer
32978,Mağlubiyet
32979,Berabere
41495,[Bilinmeyen]
41583,Kuzey Amerika
41605,Çok Uzun
41606,Uzun
41607,Orta
41608,Kısa
41609,Çok Kısa
41642,Görüntü Oranı
42122,@@int_value@@
42123,@@int_value@@
42124,@@int_value@@
42125,+@@int_value@@
42128,^@@int_value@@^
42129,sen
42130,sahip olduğun @@source_name@@
42131,@@player_name@@ elindeki @@source_name@@
42148,"@@source_name@@, @@target_name@@ hedefini sersemletti."
42151,"@@source_name@@, düşerek @@int_value@@ hasar aldı."
42153,senin
42154,@@target_name@@ adlı şampiyonun
42165,*Sersemletme*
42175,Takım Daveti
42189,"@@target_name@@, @@int_value@@ hasar aldı (@@int_value2@@ azaltıldı)."
42192,"@@target_name@@, sırtından vurularak @@int_value@@ hasar aldı (@@int_value2@@ azaltıldı)."
42195,"@@target_name@@, @@int_value@@ kritik hasar aldı (@@int_value2@@ azaltıldı)."
42199,@@target_name@@ yenildi.
42200,"@@target_name@@, @@int_value@@ Can iyileştirildi."
42209,"@@target_name@@, sersemletildi."
51494,Savunma
52289,Özel Tim
52658,@@target_name@@ @@INT_VALUE@@ tp kazandı.
52659,+@@int_value@@tp
52759,Bu özelliği etkinleştirmek için Global Agenda oyununu satın alman gerekiyor.
52836,Arena
53191,Açık PvP
53956,account.globalagendagame.com
53957,/GameSrv/Service.svc/SysSiteInfo
54106,Güç Maliyeti
54125,Hasar
54126,Güç
54127,Yapı Hasarı
54128,Düşüş Hasarı
54131,Etki Alanı Hasarı
54132,İnsansı Hasarı
54133,Enerji Hasarı
54135,Ateş Hasarı
54136,Yakın Dövüş Hasarı
54138,Hasar
54139,Zehir Hasarı
54140,Menzilli Hasar
54153,Boyut
54158,Kargo Alanı
54159,Menzil
54659,Bölge
54665,Yardımcı Etki Alanı
54666,Yardımcı Süresi
54669,Yardımcı Menzili
54670,Maks. Can
54674,Yardımcı Konuş. Süresi
54675,Konuşlanma Oranı
54684,Ateş Oranı
54685,Güç Maliyeti - Engelleme
54686,Güç Doldurma
54706,Bekleme Süresi
54707,Alan Etkisi Çapı
54890,Etkili Menzil
55108,"@@target_name@@, @@INT_VALUE@@ altın kazandı."
55112,+@@int_value@@g
55124,AvA
55498,Yakınlık Mesafesi
55499,Süre
55774,Varış yerindesin.
56990,Savunmacı ihtiyacı bitti ve sıradan çıkarıldın.
59478,Hareket
59479,Yetenekler
59481,Etkileşim
59482,Arayüz
59483,Sohbet
59484,İleri Hareket Et
59485,Geri Hareket Et
59486,Sola Hareket Et
59487,Sağa Hareket Et
59490,Ateş Et
59495,Ulti
59496,Yetenek 1
59497,Yetenek 2
59498,Yeniden Doldur
59499,Geri Çek
59500,Mağaza Aktif 1
59501,Mağaza Aktif 2
59502,Mağaza Aktif 3
59503,Tüketilebilir 1
59508,Ekran Görüntüsü Al
59526,Arkadaş Listesini Görüntüle
59539,Komuta atamak istediğin tuşa bas.
59540,Tuş atama iptal edildi.
60195,"Db isteği başarılı, arayüz sahnesi kapanmaya hazır."
60239,Tehdit
60240,Tehdit
60408,Kov
60722,Ganimet
61460,Tüm paralı asker sözleşmeleri sona erdiği için sıradan çıkarıldın.
61461,Tüm arena maçları dolu olduğu için sıradan çıkarıldın.
64900,Bolt
64903,Tower
64923,Hedefleri ele geçir ve Yükü düşman üssüne it.
64924,Taş Kale (Klasik)
64927,ZOLD MINION Bow
65145,Base Damage Volume Device
100012,"@@source_name@@, @@int_value@@. seviyeye ulaştı."
100016,"@@target_name@@, @@int_value@@. seviyeye yükseldi"
100082,Sword
100237,Bir kule tarafından hedef alındın!
100494,Eşya satın almak için I tuşuna bas
100610,"@@source_name@@, @@target_name@@ hedefini korkuttu."
100611,@@target_name@@ korkutuldu.
100612,*Panik*
100613,Panik
100779,Yönlendiricin yok edildi!
100780,Bir düşman yönlendiricisini yok ettin!
100781,Düşman sunağını yok ettin!
100782,Bir düşman kulesini yok ettin!
100783,Sunağın yok edildi!
100784,Kulen yok edildi!
100801,[MiniMap] LOSIgnored
100809,Bekleme Süresi %
101241,Heavy Club
101327,"(<font color=""#00FF00"">+@@float_value@@</font>)"
101405,"<font color=""#00FF00"">@@float_value@@</font>"
101407,@@float_value@@
101475,"<font color=""#00FF00"">@@float_value@@</font>"
101476,@@float_value@@
101477,"<font color=""#00FFFF"">+@@float_value@@</font>"
101478,"<font color=""#00FFFF"">+@@float_value@@</font>"
101479,"<font color=""#FF7700"">+@@float_value@@</font>"
101480,"<font color=""#FF7700"">+@@float_value@@</font>"
101481,"<font color=""#00FF00"">@@float_value@@</font>"
101482,@@float_value@@
101483,"<font color=""#00FF00"">@@float_value@@</font>"
101484,@@float_value@@
101485,"<font color=""#00FF00"">@@float_value@@</font>"
101486,"<font color=""#FFFFFF"">@@float_value@@</font>"
102046,Bir düşman titanını yok ettin!
102047,Titanın yok edildi!
102048,Titanın saldırı altında!
102049,Titan Damage Device (FA) (Minotaur - Giant Axe)
102059,@@ITEM_NAME@@ yükseltilerek @@ITEM_NAME_2@@ yapıldı
102060,@@ITEM_NAME@@ satın alındı
102061,Otomatik satın al
102062,Otomatik beceri
102063,@@SKILL_NAME@@ adlı beceri @@RANK@@. dereceye yükseltildi.
102138,"@@source_name@@, @@target_name@@ hedefini katletti"
102139,"@@source_name@@, @@target_name@@ hedefini katletti"
102140,"@@source_name@@, @@target_name@@ hedefini katletti"
102141,"@@source_name@@, @@target_name@@ hedefini katletti"
102196,"Yeniden canlanmayı beklerken, altın miktarının yettiği eşyaları satın alabilir veya diğer takım arkadaşlarını izleyebilirsin."
102197,Yeniden Canlanma Bekleniyor...
102204,Sunaklar korunmazsa oyun kaybedilir.
102205,Sunak
102206,Takımın adına oyunu kazanman için sunakların yıkılması gerekir.
102207,Sunak
102208,"Sunak kuleleri, savunmanın son hattıdır!"
102209,Sunak Kulesi
102210,En kuvvetli minyonlarını serbest bırakmak için yönlendiriciyi öldür!
102211,Yönlendirici
102212,"Muhafız, yönlendiriciyi koruyor. Muhafız durduğu sürece yönlendiriciye saldırılamaz!"
102213,Muhafız
102214,"Kulelerin, düşman takımın ilerlemesine karşı korur."
102215,Dost Kule
102216,"Dost minyonlar, düşman hatlarını itmene yardımcı olur."
102217,Dost Minyonlar
102218,"Ormanda, altın ve tp için öldürülebilecek tarafsız yaratıklar vardır."
102219,Orman
102220,"Orman, düşman oyunculara baskın yapmak için koruma sağlayabilir."
102221,Orman
102222,Altın ve tp için bu canavarları öldür!
102223,Orman Kampı
102224,Tekgözler büyük bir hareket güçlendirmesi verir!
102225,Tekgözler
102226,Kraken'i öldürürsen takımın büyük bir güçlendirme kazanır. Onu öldürmeye çalışmadan önce arkadaşlarının yanında olduğundan emin ol!
102227,Kraken
102230,"Mini harita, dostlarının ve düşmanlarının yerleri hakkında sana değerli bilgiler verir!"
102231,Mini Harita
102232,Birisi mini haritanın bir alanına dikkatini çekmeye çalışıyor! Mini haritaya tıklarken Alt tuşunu basılı tutarsan o bölgeye ping atabilirsin.
102233,Mini Harita Ping
102236,"Göstergenin sol tarafındaki takım paneli, takım arkadaşlarının önemli istatistiklerini gösterir."
102237,Takım Paneli
102238,Saldırı altındaki dost yapıları görmek için mini haritaya bak.
102239,Yapı Saldırı Altında!
102240,Düşman sunağına ilerlemek için bu kuleyi yok et!
102241,Düşman Kulesi
102242,Düşman yönlendiricisini saldırıya karşı savunmasız hale getirmek için Muhafız'ı öldür.
102243,Muhafız
102244,"Yönlendiricinizi koruyun, yoksa düşman en güçlü minyonlarını üretir!"
102245,Yönlendirici
102249,Bir Titan tarafından hedef alındın!
102250,Güç - Fiziksel Eşya
102251,Güç - Büyülü Eşya
102252,Saldırı Hızı
102253,Hareket
102254,Koruma - Fiziksel
102255,Koruma - Büyülü
102256,Kritik Şansı
102257,Can Çalma
102258,Can Çalma - Büyülü
102259,Nüfuz % - Büyü
102260,Nüfuz % - Fiziksel
102261,Can
102262,CP5
102263,Mana
102264,MP5
102278,What the towers use to do damage
102279,Base Turret
102289,Flaming Bow
102292,Flaming Sword
102304,@@PLAYER_NAME@@ İkili Katletme yaptı!
102305,@@PLAYER_NAME@@ Üçlü Katletme yaptı!
102306,@@PLAYER_NAME@@ Dörtlü Katletme yaptı!
102307,@@PLAYER_NAME@@ Beşli Katletme yaptı!
102308,Düşmanın bir anka kuşunu yok ettin!
102309,Anka kuşun yok edildi!
102311,Bir anka kuşu tarafından hedef alındın!
102450,Flaming Boulder
102455,Lava Flow
102513,"@@target_name_possessive@@ kalkanı, @@source_name@@ hedefinden gelen bir büyüyü soğurdu."
102514,"@@target_name_possessive@@ kalkanı, bir büyüyü soğurdu."
102515,*Soğurma*
102620,"<font color=""#00FF00"">@@float_value@@</font>"
102621,"<font color=""#FFFFFF"">@@float_value@@</font>"
102622,"<font color=""#00FFFF"">+@@float_value@@</font>"
102623,"<font color=""#00FFFF"">+@@float_value@@</font>"
102627,"<font color=""#FF7700"">+@@float_value@@</font>"
102629,"<font color=""#FF7700"">+@@float_value@@</font>"
102846,@@PLAYER_NAME@@ öldürüldüğü için @@XP_REWARD_VALUE@@ TP ve @@CURRENCY_REWARD_VALUE@@ Altın kazanıldı.
102858,[@@VGS_COMMAND_STRING@@] @@VGS_OUTPUT_STRING@@
103034,Alternatif Atış
103035,Serbest Kamera
103185,Oyuncuların sıra durumu değişti.
103195,Sol koridorda düşmanın bonus minyonları ortaya çıkıyor!
103196,Orta koridorda düşmanın bonus minyonları ortaya çıkıyor!
103198,Sol koridorda bonus minyonlar ortaya çıkıyor!
103199,Orta koridorda bonus minyonlar ortaya çıkıyor!
103200,Sağ koridorda bonus minyonlar ortaya çıkıyor!
103202,Sağ koridorda düşmanın bonus minyonları ortaya çıkıyor!
103224,Hesabını VIP Statüsüne yükseltmelisin
103238,Güç - Fiziksel
103265,Güç - Büyülü
103336,Minion Tutorial Bow
103339,Deals % of health
103340,Birinci kapın saldırı altında!
103341,İkinci kapın saldırı altında!
103342,Sığınağın saldırı altında!
103343,Sol anka kuşun saldırı altında!
103345,Orta anka kuşun saldırı altında!
103346,Sağ anka kuşun saldırı altında!
103347,Sol düşman kulesini yok ettin!
103348,Bir düşman kapısını yok ettin!
103349,Sağ düşman kulesini yok ettin!
103350,Sol kulen yok edildi!
