message_id,value
10963,@@source_name@@ 击打了 @@target_name@@ 为 @@int_value@@ 伤害 (@@int_value2@@ 抗性了).
10964,@@source_name@@ 打败了 @@target_name@@.
10965,@@source_name@@ 恢复了 @@target_name@@  @@int_value@@的血.
14308,@@source_name@@ 暴击了 @@target_name@@ ，并造成了@@int_value@@伤害(缓解了@@int_value2@@ 抗性了)。
19079,你必须输入密码。
20582,你不是突击队的领袖。
20583,@@name@@不是团队中的一名。
20589,@@source_name@@ 从后方击败了@@target_name@@，并造成了@@int_value@@伤害 (缓解了@@int_value2@@ 抗性了)。
20603,无法找到对象。
20604,无法找到属性。
20605,列表索引超出范围。
20606,正在设置数值……
20607,信息：@@message@@
21310,等级@@level@@！
23028,你获得了@@INT_VALUE@@任务点数。
23070,你击败了@@name@@！
23071,我方@@player_name@@击败了@@name@@!
23695,默认使用信息
23696,默认停用信息
25918,你协助@@player_name@@击败了@@name@@。
31313,Nav 错误：不能找到路径终点
32849,获得装备: @@item_name@@ (x@@instance_count@@).
32890,警告：离开此区域否则将被踢出任务！
32977,胜利
32978,失败
32979,平局
41495,[未知]
41583,北美
41605,非常长
41606,长
41607,中
41608,短
41609,非常短
41642,显示比例
42122,@@int_value@@
42123,@@int_value@@
42124,@@int_value@@
42125,+@@int_value@@
42128,^@@int_value@@^
42129,你
42130,你的 @@source_name@@
42131,@@player_name@@的@@source_name@@
42148,@@source_name@@ 击晕了 @@target_name@@.
42151,@@source_name@@受到@@int_value@@ 伤害，并倒下了。
42153,你的
42154,@@target_name@@的
42165,*眩晕*
42175,队伍邀请
42189,@@target_name@@ 受到了 @@int_value@@ 点伤害 (@@int_value2@@ 被抵抗)。
42192,@@target_name@@ 受到了 @@int_value@@ 点背刺伤害。(@@int_value2@@ 被减免).
42195,@@target_name@@ 受到了 @@int_value@@ 点暴击伤害。(@@int_value2@@ 被减免).
42199,@@target_name@@被击败
42200,@@target_name@@ 受到了 @@int_value@@ 点治疗。
42209,@@target_name@@被眩晕。
51494,防守
52289,团队
52658,@@target_name@@ 获得 @@INT_VALUE@@ 经验。
52659,+@@int_value@@经验值
52759,你需要购买Global Agenda 才可以使用该功能。
52836,竞技场
53191,开放式的PvP
53956,account.globalagendagame.com
53957,/GameSrv/Service.svc/SysSiteInfo
54106,强度消耗
54125,伤害输出
54126,强度
54127,建筑伤害
54128,跌落伤害
54131,范围伤害
54132,人形伤害
54133,能量伤害
54135,火焰伤害
54136,近战伤害
54138,伤害输出
54139,毒药伤害
54140,远程伤害
54153,尺寸
54158,货物空间
54159,射程
54659,区域
54665,宠物半径
54666,宠物持续时间
54669,宠物范围
54670,最大生命值
54674,宠物部署时间
54675,部署率
54684,发射速度
54685,强度消耗 - 格挡
54686,强度充能
54706,冷却
54707,范围半径
54890,有效距离
55108,@@target_name@@ 获得 @@INT_VALUE@@ 金币。
55112,+@@int_value@@金币
55124,AvA
55498,触发距离
55499,持续时间
55774,你到达目的地了。
56990,已经不再需要保卫者，你将从队列中被剔除。
59478,移动
59479,技能
59481,互动
59482,界面
59483,聊天
59484,前进
59485,后退
59486,向左平移
59487,向右平移
59490,开火
59495,终极技能
59496,技能 2
59497,技能 3
59498,装填
59499,召回
59500,主动技能 1
59501,主动技能  2
59502,主动技能  3
59503,消耗品 1
59508,截屏
59526,查看好友清单
59539,请按键绑定指挥
59540,按键绑定取消
60195,Db请求已经成功了，准备关闭界面。
60239,威胁
60240,威胁
60408,未命中
60722,战利品
61460,你从等候队列中被剔除了，因为所有的mercenary合同已经到期了。
61461,所有竞技比赛已经满员，你从等候队列中被剔除了。
64900,Bolt
64903,Tower
64923,占领目标并将运载目标护送至敌方基地。
64924,石心城堡
64927,ZOLD MINION Bow
65145,基地伤害量
100012,@@source_name@@ 提升到了 @@int_value@@ 级。
100016,@@target_name@@ 升到了 @@int_value@@ 级
100082,Sword
100237,你已成为一座防御塔的攻击目标！
100494,按'I'键来购买装备
100610,.@@source_name@@ 恐惧了 @@target_name@@。
100611,@@target_name@@ 被恐惧。
100612,*恐惧*
100613,惊恐
100779,我方引导者已被摧毁！
100780,你已被敌方的引导者摧毁！
100781,你已经摧毁了敌方圣坛！
100782,你已经摧毁了一座敌方防御塔！
100783,我方圣坛已被摧毁！
100784,我方防御塔已被摧毁！
100801,[小地图]无视视野
100809,冷却%
101241,Heavy Club
101327,"(<font color=""#00FF00"">+@@float_value@@</font>)"
101405,"<font color=""#00FF00"">@@float_value@@</font>"
101407,@@float_value@@ testing
101475,"<font color=""#00FF00"">@@float_value@@</font>"
101476,@@float_value@@ testing
101477,"<font color=""#00FFFF"">+@@float_value@@</font>"
101478,"<font color=""#00FFFF"">+@@float_value@@</font>"
101479,"<font color=""#FF7700"">+@@float_value@@</font>"
101480,"<font color=""#FF7700"">+@@float_value@@</font>"
101481,"<font color=""#00FF00"">@@float_value@@</font>"
101482,@@float_value@@ testing
101483,"<font color=""#00FF00"">@@float_value@@</font>"
101484,@@float_value@@ testing
101485,"<font color=""#00FF00"">@@float_value@@</font>"
101486,"<font color=""#FFFFFF"">@@float_value@@</font>"
102046,你毁灭了敌人的泰坦
102047,我方的泰坦已被摧毁！
102048,你的泰坦正在收到攻击
102049,Titan Damage Device (FA) (Minotaur - Giant Axe)
102059,@@ITEM_NAME@@ 升起到 @@ITEM_NAME_2@@
102060,已购买@@ITEM_NAME@@
102061,自动购买道具
102062,自动学习技能
102063,@@SKILL_NAME@@ 等级 @@RANK@@ 被训练了
102138,@@source_name@@击败了 @@target_name@@
102139,@@source_name@@击败了 @@target_name@@
102140,@@source_name@@击败了 @@target_name@@
102141,@@source_name@@击败了 @@target_name@@
102196,等待重生时，你可以购买装备或点击鼠标左键查看团队情况。
102197,等待复活
102204,保护祭坛否则游戏失败
102205,祭坛
102206,摧毁祭坛你方取得胜利
102207,祭坛
102208,祭坛之塔是最后的防线
102209,祭坛塔
102210,击败通灵师后可以释放出最强士兵！
102211,通灵师
102212,守卫者守护通灵师。当守卫者还存在时，不能攻击通灵师。
102213,守护者
102214,你的防御塔可以阻止敌的人进攻。
102215,友军防御塔
102216,友军士兵会帮助你推线。
102217,友军士兵
102218,野区中有中立的怪物，玩家击败这些怪物后可以获得金币和经验值。
102219,野区
102220,玩家可以穿过野区去偷袭敌人。
102221,野区
102222,击败这些怪物可获得金币和经验！
102223,野区营地
102224,独眼巨人会提供强大的移动速度增益!
102225,独眼巨人
102226,击败海妖可获得强大的增益，但你最好和队友们一起向它发起攻击！
102227,海妖
102230,在小地图上能看到盟友和敌人所在地点。
102231,小地图
102232,有人提醒你注意小地图上的某个区域！按住Alt键，然后点击小地图，就可以看到他所提醒的地点。
102233,小地图 ping
102236,在你HUD左边的团队面板可以看到你队友的生命值数据
102237,团队面板
102238,小地图上会标记出正在受到攻击的友方建筑。
102239,建筑被攻击了!
102240,摧毁这座塔以接近敌人的祭坛！
102241,敌对防御塔
102242,击败守卫后才能攻击敌方通灵师。
102243,守护者
102244,保护通灵师，否则敌方会召唤出超级士兵。
102245,通灵师
102249,你已成为敌方泰坦的攻击目标！
102250,强度 - 物理道具
102251,强度 - 魔法道具
102252,攻击速度
102253,移动
102254,保护 - 物理
102255,保护 - 魔法
102256,暴击几率
102257,生命偷取
102258,生命偷取 - 魔法
102259,穿透% - 魔法
102260,穿透% - 物理
102261,生命值
102262,生命回复/5秒
102263,法力值
102264,法力回复/5秒
102278,What the towers use to do damage
102279,Base Turret
102289,Flaming Bow
102292,Flaming Sword
102304,@@PLAYER_NAME@@ 获得二连击败！
102305,@@PLAYER_NAME@@ 获得三连击败！
102306,@@PLAYER_NAME@@ 获得四连击败！
102307,@@PLAYER_NAME@@ 获得五连击败！
102308,你摧毁了一只敌方凤凰！
102309,我方凤凰已被摧毁！
102311,你已成为敌方凤凰的攻击目标！
102450,Flaming Boulder
102455,Lava Flow
102513,@@target_name_possessive@@ 的盾吸收了从 @@source_name@@ 的魔法攻击.
102514,@@target_name_possessive@@ 的护盾吸收了一个技能。
102515,*吸收*
102620,"<font color=""#00FF00"">@@float_value@@</font>"
102621,"<font color=""#FFFFFF"">@@float_value@@</font>"
102622,"<font color=""#00FFFF"">+@@float_value@@</font>"
102623,"<font color=""#00FFFF"">+@@float_value@@</font>"
102627,"<font color=""#FF7700"">+@@float_value@@</font>"
102629,"<font color=""#FF7700"">+@@float_value@@</font>"
102846,击败@@PLAYER_NAME@@，获得@@XP_REWARD_VALUE@@经验和@@CURRENCY_REWARD_VALUE@@金币。
102858,[@@VGS_COMMAND_STRING@@] @@VGS_OUTPUT_STRING@@
103034,特殊攻击
103035,自由视角
103185,玩家的队列状态已更改。
103195,敌方的额外小兵已在左路出击！
103196,敌方的额外小兵已在中路出击！
103198,额外小兵已在左路出击！
103199,额外小兵已在中路出击！
103200,额外小兵已在右路出击！
103202,敌方的额外小兵已在右路出击！
103224,你必须成为荣耀游侠
103238,强度 - 物理
103265,强度 - 魔法
103336,Minion Tutorial Bow
103339,Deals % of health
103340,你的第一座大门正受到攻击！
103341,你的第二座大门正受到攻击！
103342,你的宝库正受到攻击！
103343,你的左路凤凰正受到攻击！
103345,你的中路凤凰正受到攻击！
103346,你的右路凤凰正受到攻击！
103347,你毁灭了敌人左路的塔！
103348,摧毁敌方大门！
103349,你毁灭了敌人右路的塔！
103350,左路的防御塔已被摧毁！
103351,我方城门已被摧毁！
103352,右路的防御塔已被摧毁！
103353,你摧毁了敌方左路的凤凰！
103354,你摧毁了敌方中路的凤凰！
103355,你摧毁了敌方右路的凤凰！
103356,左路的凤凰已被摧毁！
103357,中路的凤凰已被摧毁！
103358,右路的凤凰已被摧毁！
103395,@@source_name@@ 对 @@target_name@@造成了致命伤害。
103535,按'@@KEYBIND_SCENE_DAMAGE_RECAP@@'来开启伤害统计
103552,@@float_value@@ testing
103553,@@float_value@@ testing
103605,<squelch>
103649,投降功能暂未开启
103650,敌方队伍已经发起了投降投票！
103651,敌方队伍同意投降(@@NBR_YES@@票赞成，@@NBR_NO@@票反对)！
103652,我方队伍同意投降(@@NBR_YES@@票赞成，@@NBR_NO@@票反对)！
103653,我方队伍拒绝投降(@@NBR_YES@@票赞成，@@NBR_NO@@票反对)！
103654,敌方队伍拒绝投降(@@NBR_YES@@票赞成，@@NBR_NO@@票反对)！
103676,"@@PLAYER_NAME@@ 开始投降表决.  输入 /surrender (@@KEYBIND_VOTE_YES@@) 赞成, /nosurrender (@@KEYBIND_VOTE_NO@@) 反对。"
103678,你不能在投降投票失败后马上发起另一次投票。
103685,你赞成投降。
103686,你反对投降。
103687,投降投票已开始！
103782,Fire Giant
103784,Fire Giant
103785,Ranged Minion
103786,Super Ranged Minion
103787,Big Cyclops
103790,Roman Melee
103791,Super Roman Melee
103856,@@source_name@@ 回复了 @@target_name@@  @@int_value@@ 法力值.
103857,@@target_name@@补充了@@int_value@@法力值。
103858,+@@int_value@@
104046,道具价格已经改动。
104373,发现召唤传送门
104392,向左转
104393,向右转
104394,学习技能1
104395,学习技能2
104396,学习技能3
104397,学习技能4 (终极技能)
104399,视角拉近
104400,视角拉远
104401,自由移动鼠标
104402,地图
104403,技能界面
104404,装备商店
104405,语音指令系统
104406,死亡回顾
104407,记分板
104409,神明属性
104410,抑制帮助
104411,赞成投降
104412,拒绝投降
104646,切换自动奔跑
104712,@@int_value@@
104713,@@target_name@@ 被击败。
105831,@@PLAYER_NAME@@购买了@@#name_msg_id@@.
105842,Manticore Spitfire
105854,Manticore Swipe
105855,Swipe
105863,每日首胜
106022,按'@@KEYBIND_DO_REVIVE_BUYBACK@@'键来复活神明：
106023,点击'@@KEYBIND_DO_SKILL_UPGRADE@@'查看或提升技能。
106127,使用周期数
106128,胜利 追踪
106129,负场追踪
106130,离开 追踪
106370,I spit hot fire!
106375,Scorpion Rain
106376,Using the built in artillery
106549,大洋洲/澳大利亚
106555,偶像
106556,雕像
106557,圣物
106558,油
106559,焚香
106560,平板
106848,@@target_name@@ 免疫了 @@source_name@@ 的技能。
106849,@@target_name@@ 免疫了一个技能。
106850,*免疫*
108137,<按@@KEYBIND_DISMISS_HELP@@来解散>
108152,显示聊天
108496,该营地的头目会掉落增益。击败它可获得2分钟的增益。(难度简单)增益效果：+10生命回复/秒
108497,野区营地 - 生命值
108516,玩家的击败与助攻数
108517,@@PLAYER_NAME@@ 击败玩家！
108520,玩家摧毁的防御塔数
108560,@@PLAYER_NAME@@ 团灭了对方！
108754,@@PLAYER_NAME@@ 离开游戏了
108755,@@PLAYER_NAME@@ 离开游戏了
108873,快速施放技能1
108874,快速施放技能2
108875,快速施放技能3
108876,快速施放技能4
108914,*晕眩*
108915,*停滞*
108916,@@source_name@@ 瘀了 @@target_name@@.
108917,@@target_name@@ 进入凝滞状态。
108918,*沉默*
108919,@@source_name@@ 沉默了 @@target_name@@.
108920,@@target_name@@被沉默。
108922,@@source_name@@ 晕眩了 @@target_name@@.
108923,@@target_name@@被催眠
109149,@@PLAYER_NAME@@ 回来了
109150,@@PLAYER_NAME@@ 回来了
109234,@@PLAYER_NAME@@ 获得第一滴血！
109373,消耗品2
109519,你的团队占领了一个地点
109587,"<font color=""#00FFFF"">你的目标是毁灭敌放的牛头怪.</font>"
109588,"<font color=""#00FFFF"">使用 @@KEYBIND_FORWARD@@,@@KEYBIND_LEFT@@,@@KEYBIND_BACK@@,@@KEYBIND_RIGHT@@ 走过蓝圈。</font>"
109589,"<font color=""#00FFFF"">继续到下一个地区.</font>"
109590,"<font color=""#00FFFF"">按下 '@@KEYBIND_DO_SKILL_UPGRADE@@' 键打开技能页面。</font>"
109591,"<font color=""#00FFFF"">试试攻击敌人的小兵.</font>"
109592,"<font color=""#00FFFF"">地上的蓝色目标表示你的攻击范围。</font>"
109593,"<font color=""#00FFFF"">让小兵抵挡敌方的伤害</font>"
109594,"<font color=""#00FFFF"">击败敌方会让你获得经验和金钱。</font>"
109595,"<font color=""#00FFFF"">一位敌方神明正在靠近!</font>"
109597,"<font color=""#00FFFF"">按下 '@@KEYBIND_RECALL@@' 键返回基地。</font>"
109598,"<font color=""#00FFFF"">你的水泉能够为你恢复生命和法力值.</font>"
109599,"<font color=""#00FFFF"">到野区获得法力加成。</font>"
