message_id,value
10963,@@source_name@@ 擊打了 @@target_name@@ 為 @@int_value@@ 傷害 (@@int_value2@@ 抗性了).
10964,@@source_name@@ 打敗了 @@target_name@@.
10965,@@source_name@@ 恢復了 @@target_name@@  @@int_value@@的血.
14308,@@source_name@@ 暴擊了 @@target_name@@ ，並造成了@@int_value@@傷害(緩解了@@int_value2@@ 抗性了)。
19079,你必須輸入密碼。
20582,你不是突擊隊的領袖。
20583,@@name@@不是團隊中的一名。
20589,@@source_name@@ 從后方擊敗了@@target_name@@，並造成了@@int_value@@傷害 (緩解了@@int_value2@@ 抗性了)。
20603,無法找到對象。
20604,無法找到屬性。
20605,列表索引超出范圍。
20606,正在設置數值……
20607,信息：@@message@@
21310,等級@@level@@！
23028,你獲得了@@INT_VALUE@@任務點數。
23070,你擊敗了@@name@@！
23071,我方@@player_name@@擊敗了@@name@@!
23695,默認使用信息
23696,默認停用信息
25918,你協助@@player_name@@擊敗了@@name@@。
31313,Nav 錯誤：不能找到路徑終點
32849,獲得裝備: @@item_name@@ (x@@instance_count@@).
32890,警告：離開此區域否則將被踢出任務！
32977,勝利
32978,失敗
32979,平局
41495,[未知]
41605,非常長
41606,長
41607,中
41608,短
41609,非常短
41642,顯示比例
42122,@@int_value@@
42123,@@int_value@@
42124,@@int_value@@
42125,+@@int_value@@
42128,^@@int_value@@^
42129,你
42130,你的 @@source_name@@
42131,@@player_name@@的@@source_name@@
42148,@@source_name@@ 擊暈了 @@target_name@@.
42151,@@source_name@@受到@@int_value@@ 傷害，並倒下了。
42153,你的
42154,@@target_name@@的
42165,*眩暈*
42175,隊伍邀請
42189,@@target_name@@ 受到了 @@int_value@@ 點傷害 (@@int_value2@@ 被抵抗)。
42192,@@target_name@@ 受到了 @@int_value@@ 點背刺傷害。(@@int_value2@@ 被減免).
42195,@@target_name@@ 受到了 @@int_value@@ 點暴擊傷害。(@@int_value2@@ 被減免).
42199,@@target_name@@被擊敗
42200,@@target_name@@ 受到了 @@int_value@@ 點治療。
42209,@@target_name@@被眩暈。
51494,防守
52289,團隊
52658,@@target_name@@ 獲得 @@INT_VALUE@@ 經驗。
52659,+@@int_value@@經驗值
52759,你需要購買Global Agenda 才可以使用該功能。
52836,競技場
53191,開放式的PvP
53956,account.globalagendagame.com
53957,/GameSrv/Service.svc/SysSiteInfo
54106,強度消耗
54125,傷害輸出
54126,強度
54127,建筑傷害
54128,跌落傷害
54131,范圍傷害
54132,人形傷害
54133,能量傷害
54135,火焰傷害
54136,近戰傷害
54138,傷害輸出
54139,毒藥傷害
54140,遠程傷害
54153,尺寸
54158,貨物空間
54159,射程
54659,區域
54665,寵物半徑
54666,寵物持續時間
54669,寵物范圍
54670,最大生命值
54674,寵物部署時間
54675,部署率
54684,發射速度
54685,強度消耗 - 格擋
54686,強度充能
54706,冷卻
54707,范圍半徑
54890,有效距離
55108,@@target_name@@ 獲得 @@INT_VALUE@@ 金幣。
55112,+@@int_value@@金幣
55124,AvA
55498,觸發距離
55499,持續時間
55774,你到達目的地了。
56990,已經不再需要保衛者，你將從隊列中被剔除。
59478,移動
59479,技能
59481,互動
59482,界面
59483,聊天
59484,前進
59485,后退
59486,向左平移
59487,向右平移
59490,開火
59495,終極技能
59496,技能 2
59497,技能 3
59498,裝填
59499,召回
59500,主動技能 1
59501,主動技能  2
59502,主動技能  3
59503,消耗品 1
59508,截屏
59526,查看好友清單
59539,請按鍵綁定指揮
59540,按鍵綁定取消
60195,Db請求已經成功了，准備關閉界面。
60239,威脅
60240,威脅
60408,未命中
60722,戰利品
61460,你從等候隊列中被剔除了，因為所有的mercenary合同已經到期了。
61461,所有競技比賽已經滿員，你從等候隊列中被剔除了。
64923,佔領目標並將運載目標護送至敵方基地。
64924,石心城堡
100012,@@source_name@@ 提升到了 @@int_value@@ 級。
100016,@@target_name@@ 升到了 @@int_value@@ 級
100237,你已成為一座防御塔的攻擊目標！
100494,按'I'鍵來購買裝備
100610,.@@source_name@@ 恐懼了 @@target_name@@。
100611,@@target_name@@ 被恐懼。
100612,*恐懼*
100613,驚恐
100779,我方引導者已被摧毀！
100780,你已被敵方的引導者摧毀！
100781,你已經摧毀了敵方聖壇！
100782,你已經摧毀了一座敵方防御塔！
100783,我方聖壇已被摧毀！
100784,我方防御塔已被摧毀！
100801,[小地圖]無視視野
100809,冷卻%
101327,"(<font color=""#00FF00"">+@@float_value@@</font>)"
101405,"<font color=""#00FF00"">@@float_value@@</font>"
101407,@@float_value@@ testing
101475,"<font color=""#00FF00"">@@float_value@@</font>"
101476,@@float_value@@ testing
101477,"<font color=""#00FFFF"">+@@float_value@@</font>"
101478,"<font color=""#00FFFF"">+@@float_value@@</font>"
101479,"<font color=""#FF7700"">+@@float_value@@</font>"
101480,"<font color=""#FF7700"">+@@float_value@@</font>"
101481,"<font color=""#00FF00"">@@float_value@@</font>"
101482,@@float_value@@ testing
101483,"<font color=""#00FF00"">@@float_value@@</font>"
101484,@@float_value@@ testing
101485,"<font color=""#00FF00"">@@float_value@@</font>"
101486,"<font color=""#FFFFFF"">@@float_value@@</font>"
102046,你毀滅了敵人的泰坦
102047,我方的泰坦已被摧毀！
102048,你的泰坦正在收到攻擊
102059,@@ITEM_NAME@@ 升起到 @@ITEM_NAME_2@@
102060,已購買@@ITEM_NAME@@
102061,自動購買道具
102062,自動學習技能
102063,@@SKILL_NAME@@ 等級 @@RANK@@ 被訓練了
102138,@@source_name@@擊敗了 @@target_name@@
102139,@@source_name@@擊敗了 @@target_name@@
102140,@@source_name@@擊敗了 @@target_name@@
102141,@@source_name@@擊敗了 @@target_name@@
102196,等待重生時，你可以購買裝備或點擊鼠標左鍵查看團隊情況。
102197,等待復活
102204,保護祭壇否則游戲失敗
102205,祭壇
102206,摧毀祭壇你方取得勝利
102207,祭壇
102208,祭壇之塔是最后的防線
102209,祭壇塔
102210,擊敗通靈師后可以釋放出最強士兵！
102211,通靈師
102212,守衛者守護通靈師。當守衛者還存在時，不能攻擊通靈師。
102213,守護者
102214,你的防御塔可以阻止敵的人進攻。
102215,友軍防御塔
102216,友軍士兵會幫助你推線。
102217,友軍士兵
102218,野區中有中立的怪物，玩家擊敗這些怪物后可以獲得金幣和經驗值。
102219,野區
102220,玩家可以穿過野區去偷襲敵人。
102221,野區
102222,擊敗這些怪物可獲得金幣和經驗！
102223,野區營地
102224,獨眼巨人會提供強大的移動速度增益!
102225,獨眼巨人
102226,擊敗海妖可獲得強大的增益，但你最好和隊友們一起向它發起攻擊！
102227,海妖
102230,在小地圖上能看到盟友和敵人所在地點。
102231,小地圖
102232,有人提醒你注意小地圖上的某個區域！按住Alt鍵，然后點擊小地圖，就可以看到他所提醒的地點。
102233,小地圖 ping
102236,在你HUD左邊的團隊面板可以看到你隊友的生命值數據
102237,團隊面板
102238,小地圖上會標記出正在受到攻擊的友方建筑。
102239,建筑被攻擊了!
102240,摧毀這座塔以接近敵人的祭壇！
102241,敵對防御塔
102242,擊敗守衛后才能攻擊敵方通靈師。
102243,守護者
102244,保護通靈師，否則敵方會召喚出超級士兵。
102245,通靈師
102249,你已成為敵方泰坦的攻擊目標！
102250,強度 - 物理道具
102251,強度 - 魔法道具
102252,攻擊速度
102253,移動
102254,保護 - 物理
102255,保護 - 魔法
102256,暴擊幾率
102257,生命偷取
102258,生命偷取 - 魔法
102259,穿透% - 魔法
102260,穿透% - 物理
102261,生命值
102262,生命回復/5秒
102263,法力值
102264,法力回復/5秒
102304,@@PLAYER_NAME@@ 獲得二連擊敗！
102305,@@PLAYER_NAME@@ 獲得三連擊敗！
102306,@@PLAYER_NAME@@ 獲得四連擊敗！
102307,@@PLAYER_NAME@@ 獲得五連擊敗！
102308,你摧毀了一隻敵方鳳凰！
102309,我方鳳凰已被摧毀！
102311,你已成為敵方鳳凰的攻擊目標！
102513,@@target_name_possessive@@ 的盾吸收了從 @@source_name@@ 的魔法攻擊.
102514,@@target_name_possessive@@ 的護盾吸收了一個技能。
102515,*吸收*
102620,"<font color=""#00FF00"">@@float_value@@</font>"
102621,"<font color=""#FFFFFF"">@@float_value@@</font>"
102622,"<font color=""#00FFFF"">+@@float_value@@</font>"
102623,"<font color=""#00FFFF"">+@@float_value@@</font>"
102627,"<font color=""#FF7700"">+@@float_value@@</font>"
102629,"<font color=""#FF7700"">+@@float_value@@</font>"
102846,擊敗@@PLAYER_NAME@@，獲得@@XP_REWARD_VALUE@@經驗和@@CURRENCY_REWARD_VALUE@@金幣。
102858,[@@VGS_COMMAND_STRING@@] @@VGS_OUTPUT_STRING@@
103034,特殊攻擊
103035,自由視角
103185,玩家的隊列狀態已更改。
103195,敵方的額外小兵已在左路出擊！
103196,敵方的額外小兵已在中路出擊！
103198,額外小兵已在左路出擊！
103199,額外小兵已在中路出擊！
103200,額外小兵已在右路出擊！
103202,敵方的額外小兵已在右路出擊！
103224,你必須成為榮耀游俠
103238,強度 - 物理
103265,強度 - 魔法
103340,你的第一座大門正受到攻擊！
103341,你的第二座大門正受到攻擊！
103342,你的寶庫正受到攻擊！
103343,你的左路鳳凰正受到攻擊！
103345,你的中路鳳凰正受到攻擊！
103346,你的右路鳳凰正受到攻擊！
103347,你毀滅了敵人左路的塔！
103348,摧毀敵方大門！
103349,你毀滅了敵人右路的塔！
103350,左路的防御塔已被摧毀！
103351,我方城門已被摧毀！
103352,右路的防御塔已被摧毀！
103353,你摧毀了敵方左路的鳳凰！
103354,你摧毀了敵方中路的鳳凰！
103355,你摧毀了敵方右路的鳳凰！
103356,左路的鳳凰已被摧毀！
103357,中路的鳳凰已被摧毀！
103358,右路的鳳凰已被摧毀！
103395,@@source_name@@ 對 @@target_name@@造成了致命傷害。
103535,按'@@KEYBIND_SCENE_DAMAGE_RECAP@@'來開啟傷害統計
103552,@@float_value@@ testing
103553,@@float_value@@ testing
103605,<squelch>
103649,投降功能暫未開啟
103650,敵方隊伍已經發起了投降投票！
103651,敵方隊伍同意投降(@@NBR_YES@@票贊成，@@NBR_NO@@票反對)！
103652,我方隊伍同意投降(@@NBR_YES@@票贊成，@@NBR_NO@@票反對)！
103653,我方隊伍拒絕投降(@@NBR_YES@@票贊成，@@NBR_NO@@票反對)！
103654,敵方隊伍拒絕投降(@@NBR_YES@@票贊成，@@NBR_NO@@票反對)！
103676,"@@PLAYER_NAME@@ 開始投降表決.  輸入 /surrender (@@KEYBIND_VOTE_YES@@) 贊成, /nosurrender (@@KEYBIND_VOTE_NO@@) 反對。"
103678,你不能在投降投票失敗后馬上發起另一次投票。
103685,你贊成投降。
103686,你反對投降。
103687,投降投票已開始！
103856,@@source_name@@ 回復了 @@target_name@@  @@int_value@@ 法力值.
103857,@@target_name@@補充了@@int_value@@法力值。
103858,+@@int_value@@
104046,道具價格已經改動。
104373,發現召喚傳送門
104392,向左轉
104393,向右轉
104394,學習技能1
104395,學習技能2
104396,學習技能3
104397,學習技能4 (終極技能)
104399,視角拉近
104400,視角拉遠
104401,自由移動鼠標
104402,地圖
104403,技能界面
104404,裝備商店
104405,語音指令系統
104406,死亡回顧
104407,記分板
104409,神明屬性
104410,抑制幫助
104411,贊成投降
104412,拒絕投降
104646,切換自動奔跑
104712,@@int_value@@
104713,@@target_name@@ 被擊敗。
105831,@@PLAYER_NAME@@購買了@@#name_msg_id@@.
105863,每日首勝
106022,按'@@KEYBIND_DO_REVIVE_BUYBACK@@'鍵來復活神明：
106023,點擊'@@KEYBIND_DO_SKILL_UPGRADE@@'查看或提升技能。
106127,使用周期數
106128,勝利 追蹤
106129,負場追蹤
106130,離開 追蹤
106555,偶像
106556,雕像
106557,聖物
106558,油
106559,焚香
106560,平板
106848,@@target_name@@ 免疫了 @@source_name@@ 的技能。
106849,@@target_name@@ 免疫了一個技能。
106850,*免疫*
108137,<按@@KEYBIND_DISMISS_HELP@@來解散>
108152,顯示聊天
108496,該營地的頭目會掉落增益。擊敗它可獲得2分鐘的增益。(難度簡單)增益效果：+10生命回復/秒
108497,野區營地 - 生命值
108516,玩家的擊敗與助攻數
108517,@@PLAYER_NAME@@ 擊敗玩家！
108520,玩家摧毀的防御塔數
108560,@@PLAYER_NAME@@ 團滅了對方！
108754,@@PLAYER_NAME@@ 離開游戲了
108755,@@PLAYER_NAME@@ 離開游戲了
108873,快速施放技能1
108874,快速施放技能2
108875,快速施放技能3
108876,快速施放技能4
108914,*暈眩*
108915,*停滯*
108916,@@source_name@@ 瘀了 @@target_name@@.
108917,@@target_name@@ 進入凝滯狀態。
108918,*沉默*
108919,@@source_name@@ 沉默了 @@target_name@@.
108920,@@target_name@@被沉默。
108922,@@source_name@@ 暈眩了 @@target_name@@.
108923,@@target_name@@被催眠
109149,@@PLAYER_NAME@@ 回來了
109150,@@PLAYER_NAME@@ 回來了
109234,@@PLAYER_NAME@@ 獲得第一滴血！
109373,消耗品2
109519,你的團隊佔領了一個地點
109587,"<font color=""#00FFFF"">你的目標是毀滅敵放的牛頭怪.</font>"
109588,"<font color=""#00FFFF"">使用 @@KEYBIND_FORWARD@@,@@KEYBIND_LEFT@@,@@KEYBIND_BACK@@,@@KEYBIND_RIGHT@@ 走過藍圈。</font>"
109589,"<font color=""#00FFFF"">繼續到下一個地區.</font>"
109590,"<font color=""#00FFFF"">按下 '@@KEYBIND_DO_SKILL_UPGRADE@@' 鍵打開技能頁面。</font>"
109591,"<font color=""#00FFFF"">試試攻擊敵人的小兵.</font>"
109592,"<font color=""#00FFFF"">地上的藍色目標表示你的攻擊范圍。</font>"
109593,"<font color=""#00FFFF"">讓小兵抵擋敵方的傷害</font>"
109594,"<font color=""#00FFFF"">擊敗敵方會讓你獲得經驗和金錢。</font>"
109595,"<font color=""#00FFFF"">一位敵方神明正在靠近!</font>"
109597,"<font color=""#00FFFF"">按下 '@@KEYBIND_RECALL@@' 鍵返回基地。</font>"
109598,"<font color=""#00FFFF"">你的水泉能夠為你恢復生命和法力值.</font>"
109599,"<font color=""#00FFFF"">到野區獲得法力加成。</font>"
109600,"<font color=""#00FFFF"">打敗鷹身女妖獲得法力增益.</font>"
109601,"<font color=""#00FFFF"">現在升級你的終極技能</font>"
109602,"<font color=""#00FFFF"">使用在叢林的道路繞敵方英雄的后面.</font>"
109603,"<font color=""#00FFFF"">塔對技能攻擊免疫。</font>"
109604,"<font color=""#00FFFF"">小心！這個圈代表塔的攻擊范圍.</font>"
109605,"<font color=""#00FFFF"">摧毀敵方鳳凰!</font>"
109606,"<font color=""#00FFFF"">摧毀敵方泰坦!</font>"
109607,"<font color=""#00FFFF"">在等重生時可以購買裝備.</font>"
109608,"<font color=""#00FFFF"">你的塔正受到攻擊!</font>"
109609,"<font color=""#00FFFF"">你的鳳凰正收到攻擊!</font>"
109610,"<font color=""#00FFFF"">你的牛頭怪正受到攻擊!</font>"
109611,"<font color=""#00FFFF"">花點時間來購買或升級裝備。</font>"
109633,"<font color=""#00FFFF"">摧毀敵方防御塔!</font>"
109634,"<font color=""#00FFFF"">跟著箭頭來抓敵人</font>"
109635,"<font color=""#00FFFF"">擊敗敵方神明.</font>"
109636,"<font color=""#00FFFF"">你還沒有准備好來這裡。</font>"
109646,"<font color=""#00FFFF"">快回來保護它!</font>"
109654,"<font color=""#00FFFF"">到另一邊拿取生命加成</font>"
109683,控制免疫
109684,恐懼
109687,*恐懼*
109688,.@@source_name@@ 恐懼了 @@target_name@@。
109689,@@target_name@@ 被恐懼。
109719,"<font color=""#00FFFF"">按下 '@@KEYBIND_ITEM_SHOP@@' 鍵購買裝備。</font>"
109765,"<font color=""#00FFFF"">你必須在水泉附近才能購買裝備。</font>"
109861,"<font color=""#00FFFF"">回到水泉附近升級裝備。</font>"
109921,每日首次游戲
109924,單次目標
109925,活躍用戶
109926,月度目標
109928,留存 追蹤
110869,沒有成功的把你加到比賽裡。
110991,你左路的沙之守衛正受到攻擊
110992,你中路的沙之守衛正受到攻擊
110993,你右路的沙監護人正受到攻擊
110994,你的左路的沙監護人被毀滅！
110995,你的中路的沙監護人被毀滅！
110996,你的右路的沙監護人被毀滅！
110997,你毀滅了左路的沙監護人！
110998,你毀滅了中路的沙監護人！
110999,你毀滅了右路的沙之守衛！
111000,你被沙監護人瞄准了！
111003,"<font color=""#00FFFF"">試一下你的特殊技能.</font>"
111216,注意防守！如果敵方團隊擊敗了你的泰坦，你就會輸掉比賽。
111217,友軍泰坦
111218,"<font color=""#00FFFF"">離開基地去攻擊敵人。</font>"
111250,勝利后可重復獲得獎勵
111251,FWOTD - 匹配對戰
111271,你的普通攻擊不需要耗費法力值，但是你需要瞄准目標。地上的藍色指針表示你技能的范圍。
111272,攻擊的范圍和方向
111273,使用你的特殊技能消滅小兵，並對敵方神明造成傷害。使用這些技能需要消耗法力值，而且再次施用前有冷卻時間。
111274,特殊技能
111307,敵方防御塔免疫所有技能傷害，如果在塔的有效攻擊范圍內攻擊敵方神明，塔將自動把你設為攻擊目標。當地面出現紅色效果時，表示你已經進入塔的攻擊區域。
111308,敵對防御塔
111309,鳳凰對技能的攻擊免疫。如果你在敵方鳳凰的攻擊范圍內傷害敵方神明，它會馬上開始攻擊你。鳳凰被摧毀后還能復活。當鳳凰周圍的地面發紅的時候，對鳳凰進行攻擊是很危險的。
111310,敵方鳳凰
111323,你的團隊佔領了左路方尖碑
111324,你的團隊佔領了中路方尖碑
111325,你的團隊佔領了右路方尖碑
111327,你的團隊失去了左路方尖碑
111328,你的團隊失去了中路方尖碑
111329,你的團隊失去了右路方尖碑
111453,*目眩*
111454,@@source_name@@ 使 @@target_name@@ 頭暈目眩。
111455,@@target_name@@ 頭暈目眩。
111527,我方就快戰敗了！
111632,該營地的頭目會掉落增益。擊敗它可獲得2分鐘的增益。(難度簡單)增益效果：+35魔法抗性與物理抗性
111633,野區營地 - 防護
111794,強度 - 集中
111795,強度 - 集中道具
111797,"<font color=""#00FF00"">+@@float_value@@</font>"
111798,"<font color=""#00FF00"">+@@float_value@@</font>"
111799,"<font color=""#00FF00"">+@@float_value@@</font>"
111800,"<font color=""#00FF00"">+@@float_value@@</font>"
111820,"<font color=""#00FFFF"">按住左鍵進行持續攻擊。</font>"
111823,"<font color=""#00FFFF"">鳳凰是可以重生的.</font>"
111826,"<font color=""#00FFFF"">鳳凰對技能攻擊免疫。</font>"
111841,這裡是你的水泉，它可以回復你的生命和法力值。
111934,"<font color=""#00FFFF"">你需要等一段時間才可以再次施放技能.</font>"
111935,"<font color=""#00FFFF"">每次升起等級可以升起一個技能</font>"
111936,"<font color=""#00FFFF"">你可以設定熱鍵很快的升起技能</font>"
111937,"<font color=""#00FFFF"">施放技能需要消耗法力值。</font>"
111938,"<font color=""#00FFFF"">你可以使用鼠標看周圍.</font>"
111987,"<font color=""#00FFFF"">你的血很低</font>"
111988,"<font color=""#00FFFF"">你的藍很低</font>"
111989,"<font color=""#00FFFF"">你的血和藍很低.<font>"
111993,"<font color=""#00FFFF"">泰坦不會免疫技能攻擊。</font>"
112034,戰隊標簽每隔七天可以更變一次。還有@@DAYS@@天才能更改
112035,戰隊標簽每隔七天可以更變一次。還有@@HOURS@@小時才能更改
112036,戰隊標簽每隔七天可以更變一次。還有一小時即可更改
112037,戰隊標簽每隔七天可以更變一次。
112073,基地泰坦正在攻擊你！
112251,恭喜你成為榮耀游俠！
112252,使用周期
112258,僅引用一次
112259,你通過好友邀請系統加入了游戲！
112260,通過朋友推薦加入
112261,You participated in the friend referral process
112286,通過好友邀請達到5級。
112287,推薦給朋友 (等級 5)
112296,階段1
112297,使用周期
112298,階段1
112299,使用周期
112300,通過好友邀請達到10級。
112301,推薦朋友 (等級 10)
112302,通過好友邀請達到30級。
112303,推薦朋友 (等級 30)
112372,階段1
112373,使用周期
112374,推薦朋友 (等級 20)
112493,敵方擊敗了火焰巨人！
112494,你的團隊擊敗了火焰巨人！
112495,你的團隊擊敗了金色鷹身女妖！
112496,敵方擊敗了金色鷹身女妖！
112525,敵方左路鳳凰重生了！
112526,敵方中路鳳凰重生了！
112527,敵方右路鳳凰重生了！
112528,你的左路鳳凰重生了！
112529,你的中路鳳凰重生了！
112530,你的右路鳳凰重生了！
112603,沒有滿足草稿的需求。
112947,該營地的頭目會掉落增益。擊敗它可獲得2分鐘的增益。(難度中等)增益效果：+15%冷卻縮減
112948,野區營地 - 冷卻時間
112949,你的團隊
112950,敵方團隊
112951,敵人
112952,你的
112953,`CT
112954,`CT
112955,`CT 擁有
112956,`CT 的
112957,你擁有
112958,`CT 擁有
112959,`CT 的
112960,`CT 的
112965,飛上
112966,飛下
112967,撥動顯示面板
112968,覆蓋
112969,瀏覽模式
112970,查看動作
112971,盟友
112972,敵方
112973,塔
112974,電影
112975,按右鍵來取消
113061,金色鷹身女妖正受到攻擊！
113062,火焰巨人正受到攻擊！
113188,概述
113189,俯視視角
113190,腦后視角
113191,與電腦玩家控制的神明進行對抗，練習技能的使用，並嘗試不同的裝備組合。
113192,敵方神明
113195,神明對抗練習
113196,鷹身女妖營地
113197,法力增益訓練營
113198,速度增益營地練習
113199,冷卻縮減營地
113200,力量營地
113201,黃金鷹身女妖營地
113202,火焰巨人增益營地
113203,怪物突襲訓練營
113288,撥動團隊資料
113314,總計勝場數
113331,擊敗
113333,二連擊敗
113336,三連擊敗
113339,四連擊敗
113341,五連擊敗
113348,摧毀防御塔
113350,助攻
113352,第一滴血
113354,負場
113855,已佔領據點
113858,使用中間的聖泉升級。
113945,雙速
113954,每次走過水泉中心的藍蓮花，你便能升級一次。最高升至20級，且同時可在水泉處購買裝備。
113955,升級蓮花
113980,總計分鐘數
113982,擊敗玩家
114387,怯場
114388,數位速率
114389,頻道沖浪者
114390,Vod我的最愛
114391,Twitch大師
114392,極限運動
114393,聲名遠揚!
114739,在征服模式中，擊敗敵方泰坦即可獲得勝利，泰坦會受到神明技能的傷害。
114740,敵方泰坦
114836,根據敵方陣容有針對性的購買裝備可以讓你更容易獲得比賽勝利。
114837,加載1
114840,當英雄們受到多個眩暈、殘廢等控制效果時，后續控制效果的持續時間會逐漸遞減。
114841,加載3
114842,英雄在受到多個加速效果時，隻有效果最高的才會生效。
114843,加載4
114846,當維克托倒垃圾的時候會說什麼？“垃圾彈幕來襲！”
114847,加載6
114848,如果你對《槍火游俠》有任何意見和建議，記得去官方論壇反饋喲！
114849,加載7
114854,小心一些懸崖峭壁，有些英雄會用擊飛效果讓你直接命喪深淵。
114855,加載10
114860,語音指令系統可以讓你和隊友快速溝通！在游戲中按V鍵試試吧！
114861,加載13
114862,祝你好運，玩的開心！
114863,加載14
114864,別忘了每天登陸來領取豐厚的登陸獎勵哦！
114865,加載15
114866,比賽一旦開始，你就不能再更換卡組了，一定要小心選擇。
114867,加載16
114868,《槍火游俠》會舉辦很多有趣的線下活動，記得關注官網消息哦！
114869,加載17
114870,記得常去官網qhyx.qq.com逛一逛喲！
114871,加載18
114872,記得關注《槍火游俠》的微信公眾號哦！
114873,加載19
114878,官方人員絕不會向你詢問賬號密碼。
114879,加載11
114880,組隊游戲時，你獲得的金幣、賬號經驗以及英雄經驗都會提升10%。
114881,加載20
114882,你可以在比賽中按K鍵查看英雄技能。
114883,加載21
114884,有興趣參加《槍火游俠》的賽事嗎？去官網看一看如何參加吧！
114885,加載22
114894,在比賽中，英雄每秒都會自動獲得一定積分，用來購買裝備。
114895,加載5
114933,Twitch 下拉菜單
114934,Twitch 靜音
114935,Twitch 廣告
114936,Twitch 宣傳
114940,Twitch 把
114941,Twith 聊天
115247,吸收普通攻擊
